"범죄별(1)",범죄별(2),범죄별(3),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"범죄별(1)",범죄별(2),범죄별(3),합계,남,남,남,남,남,남,남,남,남,남,남,여,여,여,여,여,여,여,여,여,여,여,미상
"범죄별(1)",범죄별(2),범죄별(3),계,계,6세 이하,12세 이하,15세 이하,20세 이하,30세 이하,40세 이하,50세 이하,60세 이하,60세 초과,미상,계,6세 이하,12세 이하,15세 이하,20세 이하,30세 이하,40세 이하,50세 이하,60세 이하,60세 초과,미상,계
"형법범",풍속범죄,도박과 복표,13084,18,-,-,-,-,3,4,8,2,-,1,4,-,-,-,-,1,-,2,1,-,-,13062
"형법범",풍속범죄,신앙,272,206,2,-,-,-,-,11,40,59,94,-,41,-,2,-,-,3,3,5,16,12,-,25
"형법범",풍속범죄,기타 음란행위,2500,162,-,2,2,17,37,33,32,22,15,2,1717,-,50,120,414,595,222,160,98,45,13,621
"형법범",과실범죄,소계,7708,4607,83,93,20,61,335,588,1137,1301,970,19,2572,58,48,19,53,279,363,439,584,727,2,529
"형법범",과실범죄,과실치사상,2266,965,42,57,13,39,124,153,192,184,160,1,1262,30,32,10,40,172,164,198,285,330,1,39
"형법범",과실범죄,업무상 과실치사상,3388,2338,41,35,7,19,159,282,590,702,491,12,859,28,16,9,13,94,145,127,172,254,1,191
"형법범",과실범죄,실화,2054,1304,-,1,-,3,52,153,355,415,319,6,451,-,-,-,-,13,54,114,127,143,-,299
"형법범",기타 형법범죄,소계,102156,54186,75,27,73,1350,8773,10730,13943,12012,7018,185,28900,73,24,126,1248,4844,4605,6970,7757,3218,35,19070
"형법범",기타 형법범죄,명예,29280,17041,1,9,32,766,3638,2987,4031,3278,2282,17,9673,2,6,66,650,2418,1996,1872,1776,876,11,2566
"형법범",기타 형법범죄,권리행사 방해,9191,2385,2,4,9,34,102,552,723,550,353,56,685,10,6,14,6,49,106,181,203,107,3,6121
"형법범",기타 형법범죄,신용업무 경매,24744,12628,-,1,1,266,1583,2352,3178,3487,1749,11,9742,-,1,2,176,758,1027,2872,3831,1071,4,2374
