,,,�Ͼ���,������,����,����,ȫ��1,ȫ��2,ȫ��
date,day,useage,266,369,209,573,350,300,576
2014-01-01
2014-01-02
2014-01-03
2014-01-04
2014-01-05
2014-01-06
2014-01-07
2014-01-08
2014-01-09
2014-01-10
2014-01-11
2014-01-12
2014-01-13
2014-01-14
2014-01-15
2014-01-16
2014-01-17
2014-01-18
2014-01-19
2014-01-20
2014-01-21
2014-01-22
2014-01-23
2014-01-24
2014-01-25
2014-01-26
2014-01-27
2014-01-28
2014-01-29
2014-01-30
2014-01-31
2014-02-01
2014-02-02
2014-02-03
2014-02-04
2014-02-05
2014-02-06
2014-02-07
2014-02-08
2014-02-09
2014-02-10
2014-02-11
2014-02-12
2014-02-13
2014-02-14
2014-02-15
2014-02-16
2014-02-17
2014-02-18
2014-02-19
2014-02-20
2014-02-21
2014-02-22
2014-02-23
2014-02-24
2014-02-25
2014-02-26
2014-02-27
2014-02-28
2014-03-01
2014-03-02
2014-03-03
2014-03-04
2014-03-05
2014-03-06
2014-03-07
2014-03-08
2014-03-09
2014-03-10
2014-03-11
2014-03-12
2014-03-13
2014-03-14
2014-03-15
2014-03-16
2014-03-17
2014-03-18
2014-03-19
2014-03-20
2014-03-21
2014-03-22
2014-03-23
2014-03-24
2014-03-25
2014-03-26
2014-03-27
2014-03-28
2014-03-29
2014-03-30
2014-03-31
2014-04-01,,13 ,2,1,,2,8,,
2014-04-02,,26 ,3,1,4,4,8,1,5
2014-04-03,,26 ,4,1,3,5,4,3,6
2014-04-04,,27 ,4,1,2,4,7,3,6
2014-04-05,,,,,,,,,
2014-04-06,,,,,,,,,
2014-04-07,,28 ,2,2,2,5,6,4,7
2014-04-08,,25 ,3,,3,3,3,2,11
2014-04-09,,26 ,3,,2,5,6,1,9
2014-04-10,,28 ,4,2,3,5,6,2,6
2014-04-11,,22 ,3,3,2,2,6,2,4
2014-04-12,,,,,,,,,
2014-04-13,,,,,,,,,
2014-04-14,,23 ,2,1,1,5,4,3,7
2014-04-15,,31 ,4,1,3,7,4,4,8
2014-04-16,,26 ,3,2,2,6,4,3,6
2014-04-17,,30 ,2,3,3,3,3,8,8
2014-04-18,,24 ,2,3,2,6,3,3,5
2014-04-19,,,,,,,,,
2014-04-20,,,,,,,,,
2014-04-21,,25 ,4,3,2,7,3,2,4
2014-04-22,,28 ,2,3,3,7,4,3,6
2014-04-23,,29 ,4,4,3,7,3,2,6
2014-04-24,,26 ,3,4,3,5,4,2,5
2014-04-25,,35 ,4,4,3,8,4,4,8
2014-04-26,,35 ,4,4,3,8,4,4,8
2014-04-27,,25 ,2,3,2,5,2,3,8
2014-04-28,,27 ,3,5,2,7,2,3,5
2014-04-29,,27 ,1,5,3,6,3,2,7
2014-04-30,,24 ,2,4,1,7,2,4,4
2014-05-01,,21 ,2,4,3,8,0,2,2
2014-05-02,,28 ,2,1,2,7,6,2,8
2014-05-03,,,,,,,,,
2014-05-04,,,,,,,,,
2014-05-05,,,,,,,,,
2014-05-06,,,,,,,,,
2014-05-07,,33 ,3,6,2,7,4,3,8
2014-05-08,,38 ,5,7,3,9,4,3,7
2014-05-09,,36 ,4,7,3,8,4,3,7
2014-05-10,,,,,,,,,
2014-05-11,,,,,,,,,
2014-05-12,,38 ,4,7,3,7,6,2,9
2014-05-13,,35 ,3,4,2,9,7,5,5
2014-05-14,,27 ,3,4,2,6,2,3,7
2014-05-15,,33 ,4,5,2,8,4,3,7
2014-05-16,,34 ,2,7,2,9,3,3,8
2014-05-17,,,,,,,,,
2014-05-18,,,,,,,,,
2014-05-19,,36 ,2,7,3,8,3,5,8
2014-05-20,,34 ,2,7,2,9,3,3,8
2014-05-21,,36 ,2,7,3,8,3,5,8
2014-05-22,,27 ,4,4,2,6,3,3,5
2014-05-23,,35 ,4,5,3,7,5,4,7
2014-05-24,,,,,,,,,
2014-05-25,,,,,,,,,
2014-05-26,,29 ,2,3,2,7,4,3,8
2014-05-27,,40 ,4,8,3,8,5,4,8
2014-05-28,,30 ,3,4,3,7,3,3,7
2014-05-29,,30 ,3,4,3,7,3,3,7
2014-05-30,,28 ,2,5,3,6,2,3,7
2014-05-31
2014-06-01,,,,,,,,,
2014-06-02,,28 ,3,5,3,8,0,3,6
2014-06-03,,26 ,1,2,3,7,4,3,6
2014-06-04,,30 ,4,4,3,7,1,4,7
2014-06-05,,14 ,1,2,4,2,1,1,3
2014-06-06,,,,,,,,,
2014-06-07,,,,,,,,,
2014-06-08,,,,,,,,,
2014-06-09,,22 ,4,4,2,3,3,2,4
2014-06-10,,27 ,2,3,2,7,4,3,6
2014-06-11,,32 ,3,4,3,8,3,3,8
2014-06-12,,29 ,4,4,3,6,1,5,6
2014-06-13,,34 ,2,5,3,7,3,6,8
2014-06-14,,,,,,,,,
2014-06-15,,,,,,,,,
2014-06-16,,34 ,3,4,3,6,6,5,7
2014-06-17,,37 ,5,5,2,7,5,7,6
2014-06-18,,28 ,3,7,2,4,4,2,6
2014-06-19,,33 ,5,4,2,5,6,4,7
2014-06-20,,39 ,5,7,3,7,5,4,8
2014-06-21,,,,,,,,,
2014-06-22,,,,,,,,,
2014-06-23,,27 ,2,3,1,5,5,4,7
2014-06-24,,31 ,3,2,2,6,5,5,8
2014-06-25,,35 ,4,6,4,4,6,3,8
2014-06-26,,31 ,3,6,3,5,3,4,7
2014-06-27,,33 ,5,4,4,5,4,4,7
2014-06-28,,,,,,,,,
2014-06-29,,,,,,,,,
2014-06-30,,16 ,0,4,0,4,3,2,3
2014-07-01,,27 ,2,4,2,4,5,2,8
2014-07-02,,29 ,4,4,2,5,5,3,6
2014-07-03,,25 ,2,2,1,7,3,2,8
2014-07-04,,24 ,1,4,1,7,3,4,4
2014-07-05,,,,,,,,,
2014-07-06,,,,,,,,,
2014-07-07,,29 ,2,6,1,5,4,3,8
