경찰서,지구대,파출소,치안센터
중부,3,4,4
종로,,13,1
남대문,,7,1
서대문,2,6,3
혜화,,8,1
용산,2,6,4
성북,3,3,8
동대문,2,9,11
마포,5,3,9
영등포,5,5,5
성동,3,6,6
동작,6,1,9
광진,2,7,1
서부,2,2,4
강북,2,7,6
금천,2,3,7
중랑,4,4,10
강남,1,7,3
관악,5,4,11
강서,5,5,4
강동,4,4,9
종암,2,2,6
구로,5,3,11
서초,1,6,5
양천,5,3,8
송파,5,5,11
노원,6,2,11
방배,1,3,3
은평,2,3,7
도봉,1,7,2
수서,2,4,6
