구,총하차승객수
성동구,8289
성동구,86026
,59210
,29102
,13096
,101221
,33616
,29934
,46389
,33119
,24604
,41038
,72814
,27903
,9599
,50004
,12856
,208
,13614
강동구,97140
송파구,56069
송파구,25785
송파구,30302
송파구,39723
송파구,18347
송파구,28872
송파구,32282
송파구,74272
송파구,47293
,35599
,79544
,64051
,24748
,22730
,13309
강서구,28213
강서구,21395
,958
,373
,5319
,1030
,5874
,1321
,15139
,6579
,31498
,5863
,16409
,23150
,9713
,2116
,27607
,18539
,15088
,23923
,10747
,4349
성북구,46001
