"사용일자","노선명","역ID","역명",승차총승객수,하차총승객수,"등록일자"
"20150601","3호선","0315","무악재",5016,4938,"20151217"
"20150601","3호선","0316","독립문",8505,8827,"20151217"
"20150601","3호선","0317","경복궁",27193,28454,"20151217"
"20150601","1호선","0150","서울역",61101,56712,"20151217"
"20150601","1호선","0151","시청",26729,26727,"20151217"
"20150601","1호선","0152","종각",49773,49058,"20151217"
"20150601","1호선","0153","종로3가",37946,34619,"20151217"
"20150601","1호선","0154","종로5가",30779,30923,"20151217"
"20150601","1호선","0155","동대문",16969,18944,"20151217"
"20150601","1호선","0156","신설동",19648,19533,"20151217"
"20150601","1호선","0157","제기동",21841,22351,"20151217"
"20150601","1호선","0158","청량리(지하)",32377,33120,"20151217"
"20150601","1호선","0159","동묘앞",9515,10120,"20151217"
"20150601","2호선","0201","시청",30065,30274,"20151217"
"20150601","2호선","0202","을지로입구",55813,57062,"20151217"
"20150601","2호선","0203","을지로3가",24159,23929,"20151217"
"20150601","2호선","0204","을지로4가",15984,16035,"20151217"
"20150601","2호선","0205","동대문역사문화공원",18203,21240,"20151217"
"20150601","2호선","0206","신당",16586,17285,"20151217"
"20150601","2호선","0207","상왕십리",12234,11941,"20151217"
"20150601","2호선","0208","왕십리(성동구청)",22908,18044,"20151217"
"20150601","2호선","0209","한양대",17148,21128,"20151217"
"20150601","2호선","0210","뚝섬",18776,19964,"20151217"
"20150601","2호선","0211","성수",31077,34032,"20151217"
"20150601","2호선","0212","건대입구",46531,49912,"20151217"
"20150601","2호선","0213","구의",28012,27590,"20151217"
"20150601","2호선","0214","강변",50926,50461,"20151217"
"20150601","2호선","0215","잠실나루",21967,21246,"20151217"
"20150601","2호선","0216","잠실",81421,75214,"20151217"
"20150601","2호선","0217","신천",29380,28213,"20151217"
"20150601","2호선","0218","종합운동장",13640,15590,"20151217"
"20150601","2호선","0219","삼성",61960,65617,"20151217"
"20150601","2호선","0220","선릉",68771,59957,"20151217"
"20150601","2호선","0221","역삼",56357,63822,"20151217"
"20150601","2호선","0222","강남",107543,108106,"20151217"
"20150601","2호선","0223","교대",45465,51299,"20151217"
"20150601","2호선","0224","서초",25360,26682,"20151217"
"20150601","중앙선","1213","신원",286,249,"20151217"
"20150601","중앙선","1214","국수",1084,1003,"20151217"
"20150601","3호선","0318","안국",29501,31804,"20151217"
"20150601","3호선","0319","종로3가",10243,13060,"20151217"
"20150601","3호선","0320","을지로3가",11097,12922,"20151217"
"20150601","3호선","0321","충무로",3,0,"20151217"
"20150601","3호선","0322","동대입구",13880,15852,"20151217"
"20150601","3호선","0323","약수",16993,16577,"20151217"
"20150601","3호선","0324","금호",9212,8451,"20151217"
"20150601","3호선","0325","옥수",11873,12232,"20151217"
"20150601","3호선","0326","압구정",39418,43670,"20151217"
"20150601","3호선","0327","신사",32787,36257,"20151217"
"20150601","3호선","0328","잠원",6761,6492,"20151217"
"20150601","3호선","0329","고속터미널",50208,49841,"20151217"
"20150601","3호선","0330","교대",17733,13633,"20151217"
"20150601","3호선","0331","남부터미널",38685,41300,"20151217"
"20150601","3호선","0332","양재",49712,53898,"20151217"
"20150601","3호선","0333","매봉",14821,14278,"20151217"
"20150601","3호선","0334","도곡",8469,7687,"20151217"
"20150601","3호선","0335","대치",13371,12708,"20151217"
"20150601","3호선","0336","학여울",2986,3114,"20151217"
"20150601","3호선","0337","대청",13087,11655,"20151217"
"20150601","3호선","0338","일원",11781,11975,"20151217"
"20150601","3호선","0339","수서",14036,14731,"20151217"
"20150601","3호선","0340","가락시장",10281,9615,"20151217"
"20150601","3호선","0341","경찰병원",9028,8907,"20151217"
"20150601","3호선","0342","오금",7973,7106,"20151217"
"20150601","4호선","0409","당고개",15686,14561,"20151217"
"20150601","4호선","0410","상계",26187,23284,"20151217"
"20150601","4호선","0411","노원",25957,28733,"20151217"
"20150601","4호선","0412","창동",34863,37782,"20151217"
"20150601","4호선","0413","쌍문",38900,33410,"20151217"
"20150601","2호선","0225","방배",26386,26828,"20151217"
"20150601","2호선","0226","사당",47881,52797,"20151217"
"20150601","2호선","0227","낙성대",34488,33693,"20151217"
"20150601","2호선","0228","서울대입구",60328,59736,"20151217"
"20150601","2호선","0229","봉천",28325,25999,"20151217"
"20150601","2호선","0230","신림",80407,77156,"20151217"
"20150601","2호선","0231","신대방",31801,30174,"20151217"
"20150601","2호선","0232","구로디지털단지",75520,76328,"20151217"
"20150601","2호선","0233","대림",36671,37920,"20151217"
"20150601","2호선","0234","신도림",69980,69429,"20151217"
"20150601","2호선","0235","문래",23320,23528,"20151217"
"20150601","2호선","0236","영등포구청",26573,26647,"20151217"
"20150601","2호선","0237","당산",27050,29732,"20151217"
"20150601","2호선","0238","합정",35710,36147,"20151217"
"20150601","2호선","0239","홍대입구",68119,69071,"20151217"
"20150601","2호선","0240","신촌",53043,54391,"20151217"
"20150601","2호선","0241","이대",28260,30276,"20151217"
"20150601","2호선","0242","아현",11374,10929,"20151217"
"20150601","2호선","0243","충정로",13383,14895,"20151217"
"20150601","2호선","0244","용답",2882,2986,"20151217"
"20150601","2호선","0245","신답",1594,1835,"20151217"
"20150601","2호선","0246","신설동",4100,4151,"20151217"
"20150601","2호선","0247","도림천",1188,1331,"20151217"
"20150601","2호선","0248","양천구청",8673,9071,"20151217"
"20150601","2호선","0249","신정네거리",12443,12037,"20151217"
"20150601","2호선","0250","용두",2570,2750,"20151217"
"20150601","3호선","0309","지축",1523,1611,"20151217"
"20150601","3호선","0310","구파발",19909,15863,"20151217"
"20150601","3호선","0311","연신내",47108,44144,"20151217"
"20150601","3호선","0312","불광",21643,22620,"20151217"
"20150601","3호선","0313","녹번",17509,15241,"20151217"
"20150601","3호선","0314","홍제",24490,23119,"20151217"
"20150601","경춘선","1318","천마산",1283,1204,"20151217"
"20150601","경춘선","1319","마석",4226,4354,"20151217"
"20150601","4호선","0414","수유(강북구청)",53689,51957,"20151217"
"20150601","4호선","0415","미아",23163,21389,"20151217"
"20150601","4호선","0416","미아사거리",37300,35618,"20151217"
"20150601","4호선","0417","길음",33944,33597,"20151217"
"20150601","4호선","0418","성신여대입구",31357,28591,"20151217"
"20150601","4호선","0419","한성대입구",21150,20125,"20151217"
"20150601","4호선","0420","혜화",40380,41975,"20151217"
"20150601","4호선","0421","동대문",28612,29901,"20151217"
"20150601","4호선","0422","동대문역사문화공원",22682,21070,"20151217"
"20150601","4호선","0423","충무로",41805,43522,"20151217"
"20150601","4호선","0424","명동",39440,42348,"20151217"
"20150601","4호선","0425","회현",34807,37572,"20151217"
"20150601","4호선","0426","서울역",12937,20346,"20151217"
"20150601","4호선","0427","숙대입구",22506,22347,"20151217"
"20150601","4호선","0428","삼각지",6128,7117,"20151217"
"20150601","4호선","0429","신용산",15297,16191,"20151217"
"20150601","4호선","0430","이촌",8153,9405,"20151217"
"20150601","4호선","0431","동작",3153,3536,"20151217"
"20150601","4호선","0432","총신대입구",25842,28581,"20151217"
"20150601","4호선","0433","사당",37226,29667,"20151217"
"20150601","4호선","0434","남태령",1039,971,"20151217"
"20150601","경부선","1001","서울역",1,0,"20151217"
"20150601","경부선","1002","남영",14522,16056,"20151217"
"20150601","경부선","1003","용산",33013,33990,"20151217"
"20150601","경부선","1004","노량진",43526,42496,"20151217"
"20150601","경부선","1005","대방",18439,18230,"20151217"
"20150601","경부선","1006","영등포",48820,53418,"20151217"
"20150601","경부선","1007","신도림",2765,2394,"20151217"
"20150601","경원선","1008","이촌",5206,4117,"20151217"
"20150601","경원선","1009","서빙고",2596,2562,"20151217"
"20150601","경원선","1010","한남",5128,5080,"20151217"
"20150601","경원선","1011","옥수",56,46,"20151217"
"20150601","경원선","1012","응봉",2224,1867,"20151217"
"20150601","경원선","1013","왕십리",17868,18107,"20151217"
"20150601","경원선","1014","청량리(지상)",15062,17391,"20151217"
"20150601","중앙선","1015","회기",35084,34938,"20151217"
"20150601","경원선","1016","외대앞",15400,14756,"20151217"
"20150601","경원선","1017","신이문",11400,9965,"20151217"
"20150601","경원선","1018","석계",13036,14248,"20151217"
"20150601","경원선","1019","광운대",13746,12835,"20151217"
"20150601","경원선","1020","월계",8221,7621,"20151217"
"20150601","경원선","1021","녹천",6235,5122,"20151217"
"20150601","분당선","1023","선릉",10862,22305,"20151217"
"20150601","분당선","1024","한티",15108,16211,"20151217"
"20150601","분당선","1025","도곡",7113,7769,"20151217"
"20150601","분당선","1026","구룡",2721,2802,"20151217"
"20150601","분당선","1027","개포동",4641,4545,"20151217"
"20150601","분당선","1028","대모산입구",5038,4566,"20151217"
"20150601","분당선","1030","수서",9693,10055,"20151217"
"20150601","경부선","1032","신길",12995,10381,"20151217"
"20150601","중앙선","1201","중랑",7052,6371,"20151217"
"20150601","중앙선","1202","상봉",6186,5803,"20151217"
"20150601","중앙선","1203","망우",8948,8664,"20151217"
"20150601","중앙선","1204","양원",2534,2851,"20151217"
"20150601","중앙선","1205","구리",15320,15728,"20151217"
"20150601","중앙선","1206","도농",10610,9419,"20151217"
"20150601","중앙선","1207","양정",1013,850,"20151217"
"20150601","중앙선","1208","덕소",7384,7483,"20151217"
"20150601","중앙선","1209","도심",3153,2596,"20151217"
"20150601","중앙선","1210","팔당",748,660,"20151217"
"20150601","중앙선","1211","운길산",1165,1037,"20151217"
"20150601","중앙선","1212","양수",2184,2202,"20151217"
"20150601","경인선","1813","구일",7217,7125,"20151217"
"20150601","경인선","1814","소사",15840,15584,"20151217"
"20150601","경인선","1815","부개",12882,12075,"20151217"
"20150601","경인선","1816","간석",8080,7582,"20151217"
"20150601","경인선","1817","도원",5018,5043,"20151217"
"20150601","경인선","1821","온수",8924,8392,"20151217"
"20150601","경춘선","1320","대성리",532,516,"20151217"
"20150601","경춘선","1321","청평",2284,2177,"20151217"
"20150601","경춘선","1322","상천",487,451,"20151217"
"20150601","경춘선","1323","가평",2327,2270,"20151217"
"20150601","경춘선","1324","굴봉산",212,186,"20151217"
"20150601","경춘선","1325","백양리",101,119,"20151217"
"20150601","경춘선","1326","강촌",921,853,"20151217"
"20150601","경춘선","1327","김유정",528,533,"20151217"
"20150601","경춘선","1328","남춘천",3353,3969,"20151217"
"20150601","경춘선","1329","춘천",2710,2678,"20151217"
"20150601","장항선","1401","봉명",1821,1822,"20151217"
"20150601","장항선","1402","쌍용동",4007,3921,"20151217"
"20150601","장항선","1403","아산",2755,2327,"20151217"
"20150601","장항선","1405","배방",1061,989,"20151217"
"20150601","장항선","1407","온양온천",4904,5029,"20151217"
"20150601","장항선","1408","신창",3253,3811,"20151217"
"20150601","과천선","1450","선바위",10204,8562,"20151217"
"20150601","과천선","1451","경마공원",1271,1227,"20151217"
"20150601","과천선","1452","대공원",5158,5472,"20151217"
"20150601","과천선","1453","과천",6144,5407,"20151217"
"20150601","과천선","1454","정부과천청사",13155,13423,"20151217"
"20150601","과천선","1455","인덕원",27291,27764,"20151217"
"20150601","중앙선","1215","아신",902,1098,"20151217"
"20150601","중앙선","1216","오빈",373,356,"20151217"
"20150601","중앙선","1217","양평",4132,4062,"20151217"
"20150601","중앙선","1218","원덕",446,403,"20151217"
"20150601","중앙선","1219","용문",3099,3119,"20151217"
"20150601","경의선","1251","서울역",3715,4429,"20151217"
"20150601","경의선","1252","신촌",1152,1526,"20151217"
"20150601","경의선","1262","공덕",1861,2114,"20151217"
"20150601","경의선","1263","서강대",2278,2295,"20151217"
"20150601","경의선","1264","홍대입구",1314,1692,"20151217"
"20150601","경의선","1265","가좌",3498,3439,"20151217"
"20150601","경의선","1266","디지털미디어시티",2413,2256,"20151217"
"20150601","경의선","1267","수색",2267,2448,"20151217"
"20150601","경의선","1268","화전",3950,3817,"20151217"
"20150601","경의선","1269","강매",2680,2287,"20151217"
"20150601","경의선","1270","행신",8330,7877,"20151217"
"20150601","경의선","1271","능곡",4288,3876,"20151217"
"20150601","경의선","1272","곡산",620,620,"20151217"
"20150601","경의선","1273","백마",7886,7083,"20151217"
"20150601","경의선","1274","풍산",4917,4569,"20151217"
"20150601","경의선","1275","일산",11093,10591,"20151217"
"20150601","경의선","1276","탄현",9481,9018,"20151217"
"20150601","경의선","1278","운정",6383,5670,"20151217"
"20150601","경의선","1279","금릉",5183,4969,"20151217"
"20150601","경의선","1280","금촌",7925,7762,"20151217"
"20150601","경의선","1282","월롱",2847,3394,"20151217"
"20150601","경의선","1283","파주",2320,1767,"20151217"
"20150601","경의선","1284","문산",6812,6497,"20151217"
"20150601","경의선","1291","서울역",1,0,"20151217"
"20150601","경춘선","1311","신내",787,846,"20151217"
"20150601","경춘선","1312","갈매",425,513,"20151217"
"20150601","경춘선","1313","별내",2408,2304,"20151217"
"20150601","경춘선","1314","퇴계원",4316,3764,"20151217"
"20150601","경춘선","1315","사릉",4602,4335,"20151217"
"20150601","경춘선","1316","금곡",1751,1621,"20151217"
"20150601","경춘선","1317","평내호평",6622,6433,"20151217"
"20150601","경원선","1902","도봉",7766,7415,"20151217"
"20150601","경원선","1903","도봉산",5002,4670,"20151217"
"20150601","경원선","1904","망월사",10848,11206,"20151217"
"20150601","경원선","1905","회룡",16006,15113,"20151217"
"20150601","경원선","1906","의정부",24072,24748,"20151217"
"20150601","경원선","1907","가능",9287,8820,"20151217"
"20150601","과천선","1456","평촌",17757,17554,"20151217"
"20150601","과천선","1457","범계",34663,34497,"20151217"
"20150601","경부선","1701","구로",25854,26415,"20151217"
"20150601","경부선","1702","가산디지털단지",21653,24468,"20151217"
"20150601","경부선","1703","금천구청",13683,12485,"20151217"
"20150601","경부선","1704","석수",14300,12817,"20151217"
"20150601","경부선","1705","관악",10297,9387,"20151217"
"20150601","경부선","1706","안양",35119,35117,"20151217"
"20150601","경부선","1707","명학",14255,14414,"20151217"
"20150601","경부선","1708","금정",34482,34670,"20151217"
"20150601","경부선","1709","군포",8688,8302,"20151217"
"20150601","경부선","1710","의왕",10699,10191,"20151217"
"20150601","경부선","1711","성균관대",20230,19350,"20151217"
"20150601","경부선","1712","화서",10519,10371,"20151217"
"20150601","경부선","1713","수원",47908,51302,"20151217"
"20150601","경부선","1714","독산",18832,19641,"20151217"
"20150601","경부선","1715","세류",4552,4336,"20151217"
"20150601","경부선","1716","병점",20264,20297,"20151217"
"20150601","경부선","1717","세마",2797,2513,"20151217"
"20150601","경부선","1718","오산대",3978,4107,"20151217"
"20150601","경부선","1719","오산",11313,11282,"20151217"
"20150601","경부선","1720","진위",1967,1733,"20151217"
"20150601","경부선","1721","송탄",5230,5064,"20151217"
"20150601","경부선","1722","서정리",6920,6812,"20151217"
"20150601","경부선","1723","지제",919,918,"20151217"
"20150601","경부선","1724","평택",15849,16044,"20151217"
"20150601","경부선","1725","성환",7863,8056,"20151217"
"20150601","경부선","1726","직산",1144,1384,"20151217"
"20150601","경부선","1727","두정",7828,9982,"20151217"
"20150601","경부선","1728","천안",11757,9952,"20151217"
"20150601","경부선","1729","당정",9567,9379,"20151217"
"20150601","경부선","1749","서동탄",1783,1554,"20151217"
"20150601","경부선","1750","광명",936,833,"20151217"
"20150601","안산선","1751","산본",20583,21997,"20151217"
"20150601","안산선","1752","대야미",4667,4379,"20151217"
"20150601","안산선","1753","반월",6051,5743,"20151217"
"20150601","안산선","1754","상록수",25770,25421,"20151217"
"20150601","안산선","1755","한대앞",11974,11987,"20151217"
"20150601","안산선","1756","중앙",18964,19796,"20151217"
"20150601","안산선","1757","고잔",11024,10509,"20151217"
"20150601","안산선","1758","초지",6723,6825,"20151217"
"20150601","안산선","1759","안산",20256,18287,"20151217"
"20150601","안산선","1760","신길온천",2210,1956,"20151217"
"20150601","안산선","1761","정왕",12090,13132,"20151217"
"20150601","안산선","1762","오이도",8639,8315,"20151217"
"20150601","안산선","1763","수리산",5713,4507,"20151217"
"20150601","경인선","1801","개봉",25926,25737,"20151217"
"20150601","경인선","1802","오류동",13567,12445,"20151217"
"20150601","경인선","1803","역곡",37667,36105,"20151217"
"20150601","경인선","1804","부천",48513,46635,"20151217"
"20150601","경인선","1805","송내",41920,41317,"20151217"
"20150601","경인선","1806","부평",41263,45199,"20151217"
"20150601","경인선","1807","백운",11065,10913,"20151217"
"20150601","경인선","1808","동암",29865,28891,"20151217"
"20150601","경인선","1809","주안",36938,37172,"20151217"
"20150601","경인선","1810","제물포",10522,9818,"20151217"
"20150601","경인선","1811","동인천",22545,20455,"20151217"
"20150601","경인선","1812","인천",3871,3861,"20151217"
"20150601","5호선","2555","둔촌동",15534,15456,"20151217"
"20150601","5호선","2556","올림픽공원",6780,6621,"20151217"
"20150601","5호선","2557","방이",8006,8316,"20151217"
"20150601","5호선","2558","오금",4813,4862,"20151217"
"20150601","5호선","2559","개롱",7932,7879,"20151217"
"20150601","5호선","2560","거여",8983,8334,"20151217"
"20150601","5호선","2561","마천",7067,6956,"20151217"
"20150601","6호선","2611","응암",20510,19510,"20151217"
"20150601","6호선","2612","역촌",4096,4762,"20151217"
"20150601","6호선","2613","불광",5565,5741,"20151217"
"20150601","6호선","2614","독바위",3331,3537,"20151217"
"20150601","6호선","2615","연신내",1,0,"20151217"
