"사용일자","노선명","역ID","역명",승차총승객수,하차총승객수,"등록일자"
"20150301","2호선","0201","시청",8933,7518,"20151217"
"20150301","2호선","0202","을지로입구",32361,30683,"20151217"
"20150301","2호선","0203","을지로3가",8761,8278,"20151217"
"20150301","2호선","0204","을지로4가",3875,3889,"20151217"
"20150301","2호선","0205","동대문역사문화공원",13591,16282,"20151217"
"20150301","2호선","0206","신당",10154,10778,"20151217"
"20150301","2호선","0207","상왕십리",5843,5637,"20151217"
"20150301","2호선","0208","왕십리(성동구청)",15176,13560,"20151217"
"20150301","2호선","0209","한양대",4533,4697,"20151217"
"20150301","2호선","0210","뚝섬",8016,8195,"20151217"
"20150301","2호선","0211","성수",9235,9547,"20151217"
"20150301","2호선","0212","건대입구",38201,39375,"20151217"
"20150301","2호선","0213","구의",13618,13426,"20151217"
"20150301","2호선","0214","강변",43859,46923,"20151217"
"20150301","2호선","0215","잠실나루",9346,9225,"20151217"
"20150301","2호선","0216","잠실",59995,53664,"20151217"
"20150301","2호선","0217","신천",17211,17099,"20151217"
"20150301","2호선","0218","종합운동장",14833,15036,"20151217"
"20150301","2호선","0219","삼성",41681,41627,"20151217"
"20150301","2호선","0220","선릉",18971,16171,"20151217"
"20150301","2호선","0221","역삼",15280,15780,"20151217"
"20150301","2호선","0222","강남",59288,57909,"20151217"
"20150301","2호선","0223","교대",17504,18530,"20151217"
"20150301","2호선","0224","서초",19381,18287,"20151217"
"20150301","2호선","0225","방배",10490,10743,"20151217"
"20150301","2호선","0226","사당",30012,32796,"20151217"
"20150301","2호선","0227","낙성대",21441,21485,"20151217"
"20150301","2호선","0228","서울대입구",36977,37852,"20151217"
"20150301","2호선","0229","봉천",15447,14860,"20151217"
"20150301","3호선","0342","오금",3550,3215,"20151217"
"20150301","4호선","0409","당고개",10089,9956,"20151217"
"20150301","4호선","0410","상계",14583,13807,"20151217"
"20150301","4호선","0411","노원",19584,20400,"20151217"
"20150301","4호선","0412","창동",20987,22628,"20151217"
"20150301","4호선","0413","쌍문",22362,19281,"20151217"
"20150301","4호선","0414","수유(강북구청)",32210,31003,"20151217"
"20150301","4호선","0415","미아",12923,11499,"20151217"
"20150301","2호선","0230","신림",55570,54012,"20151217"
"20150301","2호선","0231","신대방",19105,18451,"20151217"
"20150301","2호선","0232","구로디지털단지",35308,34433,"20151217"
"20150301","2호선","0233","대림",23372,24303,"20151217"
"20150301","2호선","0234","신도림",48844,49164,"20151217"
"20150301","2호선","0235","문래",8471,8773,"20151217"
"20150301","2호선","0236","영등포구청",9854,10082,"20151217"
"20150301","2호선","0237","당산",13500,14725,"20151217"
"20150301","2호선","0238","합정",26367,23520,"20151217"
"20150301","2호선","0239","홍대입구",70946,66687,"20151217"
"20150301","2호선","0240","신촌",42483,40099,"20151217"
"20150301","2호선","0241","이대",17748,18505,"20151217"
"20150301","2호선","0242","아현",5817,5541,"20151217"
"20150301","2호선","0243","충정로",5523,5805,"20151217"
