"사용일자","노선명","역ID","역명",승차총승객수,하차총승객수,"등록일자"
"20150801","4호선","0431","동작",1942,2067,"20151217"
"20150801","4호선","0432","총신대입구",17169,18440,"20151217"
"20150801","4호선","0433","사당",25002,20311,"20151217"
"20150801","4호선","0434","남태령",804,643,"20151217"
"20150801","경부선","1001","서울역",1,0,"20151217"
"20150801","경부선","1002","남영",6852,6549,"20151217"
"20150801","경부선","1003","용산",41370,47128,"20151217"
"20150801","경부선","1004","노량진",35969,34787,"20151217"
"20150801","경부선","1005","대방",10619,10009,"20151217"
"20150801","경부선","1006","영등포",52173,55687,"20151217"
"20150801","경부선","1007","신도림",2772,2358,"20151217"
"20150801","경원선","1008","이촌",3458,2696,"20151217"
"20150801","경원선","1009","서빙고",1528,1484,"20151217"
"20150801","경원선","1010","한남",3264,3059,"20151217"
"20150801","경원선","1011","옥수",46,40,"20151217"
"20150801","경원선","1012","응봉",1513,1245,"20151217"
"20150801","경원선","1013","왕십리",14804,15861,"20151217"
"20150801","경원선","1014","청량리(지상)",17313,19309,"20151217"
"20150801","중앙선","1015","회기",21862,20248,"20151217"
"20150801","경원선","1016","외대앞",9306,8043,"20151217"
"20150801","경원선","1017","신이문",7526,6503,"20151217"
"20150801","경원선","1018","석계",9118,9093,"20151217"
"20150801","경원선","1019","광운대",6514,6151,"20151217"
"20150801","경원선","1020","월계",4051,3603,"20151217"
"20150801","경원선","1021","녹천",3766,3069,"20151217"
"20150801","분당선","1023","선릉",3903,7268,"20151217"
"20150801","분당선","1024","한티",12217,11620,"20151217"
"20150801","분당선","1025","도곡",3704,3751,"20151217"
"20150801","분당선","1026","구룡",1272,1162,"20151217"
"20150801","분당선","1027","개포동",2671,2522,"20151217"
"20150801","분당선","1028","대모산입구",2612,2407,"20151217"
"20150801","분당선","1030","수서",4754,4957,"20151217"
"20150801","경부선","1032","신길",7672,6051,"20151217"
"20150801","중앙선","1201","중랑",5029,4727,"20151217"
"20150801","중앙선","1202","상봉",5602,5285,"20151217"
"20150801","중앙선","1203","망우",7354,6954,"20151217"
"20150801","경의선","1272","곡산",411,428,"20151217"
"20150801","경의선","1273","백마",4310,3981,"20151217"
"20150801","경의선","1274","풍산",3307,3208,"20151217"
"20150801","경의선","1275","일산",5816,5843,"20151217"
"20150801","경의선","1276","탄현",5636,5510,"20151217"
"20150801","경의선","1278","운정",3849,3641,"20151217"
"20150801","경의선","1279","금릉",3710,3586,"20151217"
"20150801","경의선","1280","금촌",6824,6247,"20151217"
"20150801","경의선","1282","월롱",1706,1547,"20151217"
"20150801","경의선","1283","파주",1156,824,"20151217"
"20150801","경의선","1284","문산",7003,6014,"20151217"
"20150801","경의선","1296","계양",1,0,"20151217"
"20150801","경춘선","1311","신내",530,543,"20151217"
"20150801","경춘선","1312","갈매",414,381,"20151217"
"20150801","경춘선","1313","별내",1794,1851,"20151217"
"20150801","경춘선","1314","퇴계원",2725,2479,"20151217"
"20150801","경춘선","1315","사릉",2583,2476,"20151217"
"20150801","경춘선","1316","금곡",1318,1101,"20151217"
"20150801","경춘선","1317","평내호평",5397,4749,"20151217"
"20150801","경춘선","1318","천마산",1034,1161,"20151217"
"20150801","경춘선","1319","마석",3789,4180,"20151217"
"20150801","경춘선","1320","대성리",1959,2942,"20151217"
"20150801","경춘선","1321","청평",3659,4842,"20151217"
"20150801","경춘선","1322","상천",797,850,"20151217"
"20150801","경춘선","1323","가평",4966,6186,"20151217"
"20150801","경춘선","1324","굴봉산",607,609,"20151217"
"20150801","경춘선","1325","백양리",289,207,"20151217"
"20150801","경춘선","1326","강촌",1454,1698,"20151217"
"20150801","경춘선","1327","김유정",805,1002,"20151217"
"20150801","경춘선","1328","남춘천",3641,4930,"20151217"
"20150801","경춘선","1329","춘천",3612,3511,"20151217"
"20150801","장항선","1401","봉명",1060,992,"20151217"
"20150801","장항선","1402","쌍용동",1797,1609,"20151217"
"20150801","장항선","1403","아산",2294,2435,"20151217"
"20150801","장항선","1405","배방",872,826,"20151217"
"20150801","장항선","1407","온양온천",5322,5229,"20151217"
"20150801","3호선","0337","대청",6263,5592,"20151217"
"20150801","3호선","0338","일원",4068,3871,"20151217"
"20150801","3호선","0339","수서",7839,7779,"20151217"
"20150801","3호선","0340","가락시장",5818,5264,"20151217"
"20150801","3호선","0341","경찰병원",4285,4241,"20151217"
"20150801","3호선","0342","오금",4286,3795,"20151217"
"20150801","4호선","0409","당고개",11433,11100,"20151217"
"20150801","4호선","0410","상계",16342,14569,"20151217"
"20150801","4호선","0411","노원",19207,21542,"20151217"
"20150801","4호선","0412","창동",23328,24820,"20151217"
"20150801","4호선","0413","쌍문",25032,20607,"20151217"
"20150801","4호선","0414","수유(강북구청)",36091,34343,"20151217"
"20150801","4호선","0415","미아",14157,12273,"20151217"
"20150801","4호선","0416","미아사거리",26919,25566,"20151217"
"20150801","4호선","0417","길음",19823,17822,"20151217"
"20150801","4호선","0418","성신여대입구",20303,18246,"20151217"
"20150801","4호선","0419","한성대입구",11793,10761,"20151217"
"20150801","4호선","0420","혜화",38254,41753,"20151217"
"20150801","4호선","0421","동대문",22195,20152,"20151217"
"20150801","4호선","0422","동대문역사문화공원",22709,19977,"20151217"
"20150801","4호선","0423","충무로",17668,18165,"20151217"
"20150801","4호선","0424","명동",33094,37439,"20151217"
"20150801","4호선","0425","회현",24962,26175,"20151217"
"20150801","4호선","0426","서울역",7028,17915,"20151217"
"20150801","4호선","0427","숙대입구",10673,10043,"20151217"
"20150801","4호선","0428","삼각지",2875,4177,"20151217"
"20150801","4호선","0429","신용산",9192,9970,"20151217"
"20150801","4호선","0430","이촌",9632,10256,"20151217"
"20150801","경부선","1724","평택",15285,13989,"20151217"
"20150801","경부선","1725","성환",3667,3070,"20151217"
"20150801","경부선","1726","직산",1070,1044,"20151217"
"20150801","경부선","1727","두정",5344,5244,"20151217"
"20150801","경부선","1728","천안",9277,9345,"20151217"
"20150801","경부선","1729","당정",4828,4543,"20151217"
"20150801","경부선","1749","서동탄",1276,1286,"20151217"
"20150801","경부선","1750","광명",747,566,"20151217"
"20150801","안산선","1751","산본",14085,14786,"20151217"
"20150801","안산선","1752","대야미",3407,2887,"20151217"
"20150801","안산선","1753","반월",4413,3920,"20151217"
"20150801","안산선","1754","상록수",16112,15553,"20151217"
"20150801","안산선","1755","한대앞",6873,6566,"20151217"
"20150801","안산선","1756","중앙",14386,15620,"20151217"
"20150801","안산선","1757","고잔",6306,6278,"20151217"
"20150801","안산선","1758","초지",3117,2660,"20151217"
"20150801","안산선","1759","안산",18286,17885,"20151217"
"20150801","안산선","1760","신길온천",1509,1431,"20151217"
"20150801","안산선","1761","정왕",7647,7646,"20151217"
"20150801","안산선","1762","오이도",7477,7546,"20151217"
"20150801","안산선","1763","수리산",3254,2674,"20151217"
"20150801","경인선","1801","개봉",17878,17007,"20151217"
"20150801","경인선","1802","오류동",9189,8318,"20151217"
"20150801","경인선","1803","역곡",21594,20705,"20151217"
"20150801","경인선","1804","부천",36735,36514,"20151217"
