"사용일자","노선명","역ID","역명","승차총승객수","하차총승객수","등록일자"
"20170901","1호선","0150","서울역","61680","59908","20170904"
"20170901","1호선","0151","시청","28634","28776","20170904"
"20170901","1호선","0152","종각","52694","51832","20170904"
"20170901","1호선","0153","종로3가","38421","36135","20170904"
"20170901","1호선","0154","종로5가","29038","29644","20170904"
"20170901","1호선","0155","동대문","16057","18218","20170904"
"20170901","1호선","0156","신설동","17804","18054","20170904"
"20170901","1호선","0157","제기동","22168","23002","20170904"
"20170901","1호선","0158","청량리(서울시립대입구)","30648","31344","20170904"
"20170901","1호선","0159","동묘앞","10539","11035","20170904"
"20170901","2호선","0201","시청","29943","28975","20170904"
"20170901","2호선","0202","을지로입구","56744","57453","20170904"
"20170901","2호선","0203","을지로3가","24947","25457","20170904"
"20170901","2호선","0204","을지로4가","15255","14937","20170904"
"20170901","2호선","0205","동대문역사문화공원","20502","23959","20170904"
"20170901","2호선","0206","신당","17312","17590","20170904"
"20170901","2호선","0207","상왕십리","15694","14568","20170904"
"20170901","2호선","0208","왕십리(성동구청)","23575","18831","20170904"
"20170901","2호선","0209","한양대","13742","16849","20170904"
"20170901","2호선","0210","뚝섬","19956","21450","20170904"
"20170901","2호선","0211","성수","32515","35362","20170904"
"20170901","2호선","0212","건대입구","49903","57379","20170904"
"20170901","2호선","0213","구의(광진구청)","27464","26018","20170904"
"20170901","2호선","0214","강변(동서울터미널)","56680","53801","20170904"
"20170901","2호선","0215","잠실나루","21979","20423","20170904"
"20170901","2호선","0216","잠실(송파구청)","97132","91644","20170904"
"20170901","2호선","0217","잠실새내","30202","30944","20170904"
"20170901","2호선","0218","종합운동장","16561","18730","20170904"
"20170901","2호선","0219","삼성(무역센터)","61766","61971","20170904"
"20170901","2호선","0220","선릉","66194","56847","20170904"
"20170901","2호선","0221","역삼","56629","63753","20170904"
"20170901","2호선","0222","강남","114073","117306","20170904"
"20170901","2호선","0223","교대(법원.검찰청)","44772","50694","20170904"
"20170901","2호선","0224","서초","25561","26174","20170904"
"20170901","2호선","0225","방배","25766","26178","20170904"
"20170901","2호선","0226","사당","47330","55958","20170904"
"20170901","2호선","0227","낙성대","35255","32394","20170904"
"20170901","2호선","0228","서울대입구(관악구청)","62123","59027","20170904"
"20170901","2호선","0229","봉천","27227","24252","20170904"
"20170901","2호선","0230","신림","79800","77622","20170904"
"20170901","2호선","0231","신대방","32338","30259","20170904"
"20170901","2호선","0232","구로디지털단지","74633","74483","20170904"
"20170901","2호선","0233","대림(구로구청)","33116","33804","20170904"
"20170901","2호선","0234","신도림","67383","67638","20170904"
"20170901","2호선","0235","문래","23442","23719","20170904"
"20170901","2호선","0236","영등포구청","25984","26554","20170904"
"20170901","2호선","0237","당산","26214","30214","20170904"
"20170901","2호선","0238","합정","38194","42633","20170904"
"20170901","2호선","0239","홍대입구","82803","95970","20170904"
"20170901","2호선","0240","신촌","55621","58099","20170904"
"20170901","2호선","0241","이대","24165","25546","20170904"
"20170901","2호선","0242","아현","12655","11823","20170904"
"20170901","2호선","0243","충정로(경기대입구)","13779","14483","20170904"
