"사용일자","노선명","역ID","역명","승차총승객수","하차총승객수","등록일자"
"20171101","1호선","0157","제기동","23504","24448","20171104"
"20171101","1호선","0156","신설동","18701","18488","20171104"
"20171101","1호선","0155","동대문","16968","18339","20171104"
"20171101","1호선","0154","종로5가","30237","30425","20171104"
"20171101","1호선","0153","종로3가","38135","34100","20171104"
"20171101","1호선","0152","종각","54687","51338","20171104"
"20171101","1호선","0151","시청","33742","34119","20171104"
"20171101","1호선","0150","서울역","57200","56273","20171104"
"20171101","공항철도 1호선","4210","청라국제도시","6408","6000","20171104"
"20171101","공항철도 1호선","4209","검암","9736","9636","20171104"
"20171101","공항철도 1호선","4208","계양","12684","11404","20171104"
"20171101","공항철도 1호선","4207","김포공항","10224","7216","20171104"
"20171101","공항철도 1호선","4204","디지털미디어시티","14446","12715","20171104"
"20171101","공항철도 1호선","4203","홍대입구","9258","9144","20171104"
"20171101","공항철도 1호선","4202","공덕","2056","2687","20171104"
"20171101","공항철도 1호선","4201","서울역","10194","8222","20171104"
"20171101","경춘선","1329","춘천","2437","2169","20171104"
"20171101","경춘선","1328","남춘천","2878","3040","20171104"
"20171101","경춘선","1327","김유정","524","591","20171104"
"20171101","경춘선","1326","강촌","766","662","20171104"
"20171101","경춘선","1325","백양리","104","83","20171104"
"20171101","경춘선","1324","굴봉산","251","234","20171104"
"20171101","경춘선","1323","가평","2910","3123","20171104"
"20171101","경춘선","1322","상천","526","493","20171104"
"20171101","경춘선","1321","청평","2357","2077","20171104"
"20171101","경춘선","1320","대성리","507","447","20171104"
"20171101","경춘선","1319","마석","4391","4345","20171104"
"20171101","경춘선","1318","천마산","1766","1630","20171104"
"20171101","경춘선","1317","평내호평","7070","6828","20171104"
"20171101","경춘선","1316","금곡","1822","1804","20171104"
"20171101","경춘선","1315","사릉","4440","4079","20171104"
"20171101","경춘선","1314","퇴계원","4080","3607","20171104"
"20171101","경춘선","1313","별내","3010","2925","20171104"
"20171101","경춘선","1312","갈매","2606","2290","20171104"
"20171101","경춘선","1311","신내","971","1069","20171104"
"20171101","경인선","1823","도화","4687","4339","20171104"
"20171101","경인선","1822","중동","11757","10974","20171104"
"20171101","경인선","1821","온수(성공회대입구)","8687","8400","20171104"
"20171101","경인선","1817","도원","4951","5120","20171104"
"20171101","경인선","1816","간석","7749","7241","20171104"
"20171101","경인선","1815","부개","11493","10819","20171104"
"20171101","경인선","1814","소사","15011","14746","20171104"
"20171101","경인선","1813","구일","8516","8484","20171104"
"20171101","경인선","1812","인천","4519","3592","20171104"
"20171101","경인선","1811","동인천","19968","18957","20171104"
"20171101","경인선","1810","제물포","13978","13071","20171104"
"20171101","경인선","1809","주안","28381","26762","20171104"
"20171101","경인선","1808","동암","21832","21604","20171104"
"20171101","경인선","1807","백운","11367","10935","20171104"
"20171101","경인선","1806","부평","38110","41814","20171104"
"20171101","경인선","1805","송내","38217","38283","20171104"
"20171101","경인선","1804","부천","45197","44498","20171104"
"20171101","경인선","1803","역곡","37736","36674","20171104"
