날짜, 평균기온, 최고기온, 평균운량, 일강수량
2017-4-15, 16.8℃, 24.3℃, 3.3,  -
2017-4-16, 18.7℃, 24.4℃, 8.1,  -
2017-4-17, 14.7℃, 18.0℃, 8.3, 5.5mm
2017-4-18, 11.7℃, 17.4℃, 5.3, 7.5mm
2017-4-19, 12.6℃, 18.4℃, 2.0,  -
2017-4-20, 12.9℃, 18.2℃, 7.4, 0.1mm
2017-4-21, 13.1℃, 19.3℃, 3.1,  -
2017-4-22, 14.8℃, 22.5℃, 0.5,  -
2017-4-23, 14.9℃, 21.7℃, 0.1,  -
2017-4-24, 15.1℃, 21.3℃, 4.8,  -
2017-4-25, 16.0℃, 20.4℃, 7.9,  -
2017-4-26, 15.1℃, 20.2℃, 2.0,  -
2017-4-27, 13.6℃, 19.8℃, 0.4,  -
2017-4-28, 14.4℃, 21.5℃, 3.3,  -
2017-4-29, 17.1℃, 23.7℃, 0.0,  -
2017-4-30, 19.3℃, 27.8℃, 0.0,  -
2017-5-1, 20.1℃, 28.3℃, 0.0,  -
2017-5-2, 20.7℃, 28.0℃, 3.1,  -
2017-5-3, 21.5℃, 30.2℃, 0.0,  -
2017-5-4, 21.0℃, 27.5℃, 7.4,  -
2017-5-5, 20.9℃, 27.0℃, 5.1,  -
2017-5-6, 14.9℃, 19.3℃, 0.9,  -
2017-5-7, 16.6℃, 22.8℃, 0.5,  -
2017-5-8, 17.9℃, 23.5℃, 7.3,  -
2017-5-9, 17.1℃, 22.6℃, 9.4, 2.5mm
2017-5-10, 16.4℃, 20.8℃, 6.9, 2.5mm
2017-5-11, 19.3℃, 24.8℃, 7.6, 0.0mm
2017-5-12, 19.1℃, 21.1℃, 8.0,  -
2017-5-13, 16.4℃, 22.6℃, 6.8, 6.0mm
2017-5-14, 15.7℃, 20.7℃, 0.6,  -
2017-5-15, 16.0℃, 20.1℃, 5.5, 0.0mm
2017-5-16, 17.1℃, 22.3℃, 6.4,  -
2017-5-17, 18.7℃, 25.9℃, 0.5,  -
2017-5-18, 20.4℃, 26.9℃, 1.5,  -
2017-5-19, 21.1℃, 27.9℃, 0.0,  -
2017-5-20, 20.9℃, 27.3℃, 5.1,  -
2017-5-21, 21.5℃, 27.6℃, 2.8,  -
2017-5-22, 21.8℃, 28.0℃, 2.8,  -
