ณฏยฅ, ฦ๒ฑีฑโฟย, รึฐํฑโฟย, รึภ๚ฑโฟย, ฦ๒ฑีฟ๎ทฎ, ภฯฐญผ๖ทฎ
2014-1-1, 4.0กษ, 7.9กษ, 0.3กษ, 2.1, 0.0mm
2014-1-2, 1.5กษ, 6.2กษ, -1.3กษ, 0.3,  -
2014-1-3, 2.3กษ, 7.3กษ, -1.1กษ, 4.6,  -
2014-1-4, -0.1กษ, 5.6กษ, -3.7กษ, 0.9,  -
2014-1-5, -0.8กษ, 3.8กษ, -4.3กษ, 2.1,  -
2014-1-6, 0.8กษ, 6.4กษ, -3.7กษ, 3.1,  -
2014-1-7, 3.0กษ, 5.5กษ, 0.3กษ, 8.5, 0.0mm
2014-1-8, 0.5กษ, 4.0กษ, -5.7กษ, 7.4, 0.0mm
2014-1-9, -7.8กษ, -4.3กษ, -10.4กษ, 0.0,  -
2014-1-10, -4.7กษ, -0.9กษ, -9.3กษ, 3.1, 0.0mm
2014-1-11, -1.7กษ, 2.4กษ, -5.4กษ, 4.5,  -
2014-1-12, -2.4กษ, 2.5กษ, -7.7กษ, 2.5, 0.0mm
2014-1-13, -6.2กษ, -1.6กษ, -10.5กษ, 0.0,  -
2014-1-14, -4.3กษ, 1.1กษ, -8.9กษ, 0.0,  -
2014-1-15, -2.9กษ, 2.2กษ, -7.6กษ, 0.9,  -
2014-1-16, 0.1กษ, 3.6กษ, -4.0กษ, 6.8,  -
2014-1-17, -0.1กษ, 3.8กษ, -3.7กษ, 1.8,  -
2014-1-18, -2.2กษ, 0.8กษ, -4.9กษ, 0.4,  -
2014-1-19, -2.6กษ, 2.4กษ, -7.4กษ, 4.9, 0.0mm
2014-1-20, -1.5กษ, 1.9กษ, -4.2กษ, 9.6, 5.3mm
2014-1-21, -5.5กษ, -3.1กษ, -7.2กษ, 5.3, 0.7mm
2014-1-22, -3.9กษ, 1.6กษ, -9.5กษ, 1.0,  -
2014-1-23, -0.8กษ, 4.1กษ, -5.2กษ, 3.4,  -
2014-1-24, 3.0กษ, 5.7กษ, -1.1กษ, 8.5,  -
2014-1-25, 4.2กษ, 6.3กษ, -0.4กษ, 7.0, 3.0mm
2014-1-26, -2.1กษ, 2.3กษ, -5.3กษ, 0.0,  -
2014-1-27, 0.2กษ, 6.0กษ, -5.4กษ, 1.6,  -
2014-1-28, 1.5กษ, 4.6กษ, -3.0กษ, 3.6, 0.5mm
2014-1-29, 2.2กษ, 8.2กษ, -5.3กษ, 4.3,  -
2014-1-30, 4.0กษ, 6.5กษ, -1.0กษ, 5.8, 3.5mm
2014-1-31, 1.3กษ, 7.0กษ, -4.3กษ, 1.0,  -
2014-2-1, 4.9กษ, 6.0กษ, 3.7กษ, 9.6, 11.0mm
2014-2-2, 4.9กษ, 6.5กษ, 2.8กษ, 8.9, 0.5mm
2014-2-3, -3.5กษ, 2.8กษ, -8.2กษ, 2.6,  -
2014-2-4, -7.4กษ, -3.7กษ, -10.5กษ, 0.1,  -
2014-2-5, -4.8กษ, 0.3กษ, -8.9กษ, 4.5,  -
2014-2-6, -1.3กษ, 4.5กษ, -5.2กษ, 5.0,  -
2014-2-7, 2.4กษ, 7.6กษ, -2.0กษ, 8.4, 0.0mm
2014-2-8, 0.2กษ, 2.5กษ, -1.5กษ, 9.8, 4.3mm
2014-2-9, -1.6กษ, 0.7กษ, -3.4กษ, 8.0, 0.2mm
2014-2-10, -0.1กษ, 4.4กษ, -2.9กษ, 4.5, 0.2mm
2014-2-11, 0.2กษ, 5.2กษ, -3.8กษ, 0.8,  -
2014-2-12, 1.2กษ, 5.1กษ, -2.0กษ, 4.4, 0.0mm
2014-2-13, 1.9กษ, 6.5กษ, -2.1กษ, 5.6,  -
2014-2-14, 2.7กษ, 7.6กษ, -0.7กษ, 4.0,  -
2014-2-15, 2.7กษ, 8.5กษ, -1.9กษ, 0.4,  -
2014-2-16, 2.8กษ, 8.1กษ, -1.1กษ, 5.8,  -
2014-2-17, 4.2กษ, 8.5กษ, 0.9กษ, 6.4,  -
2014-2-18, 2.5กษ, 5.4กษ, 0.3กษ, 5.3,  -
2014-2-19, 2.1กษ, 6.7กษ, -1.9กษ, 3.5,  -
2014-2-20, 1.2กษ, 5.5กษ, -1.2กษ, 0.9,  -
2014-2-21, 0.9กษ, 6.9กษ, -4.0กษ, 0.0,  -
2014-2-22, 2.2กษ, 7.4กษ, -2.1กษ, 1.4,  -
2014-2-23, 3.1กษ, 8.5กษ, -1.8กษ, 0.0,  -
2014-2-24, 4.1กษ, 9.3กษ, -0.3กษ, 0.0,  -
2014-2-25, 5.7กษ, 12.3กษ, 0.6กษ, 0.0,  -
2014-2-26, 8.4กษ, 16.4กษ, 1.4กษ, 1.0,  -
2014-2-27, 7.7กษ, 13.1กษ, 3.8กษ, 4.8,  -
2014-2-28, 6.7กษ, 12.3กษ, 1.3กษ, 6.3,  -
2014-3-1, 6.0กษ, 9.4กษ, 3.3กษ, 8.1,  -
2014-3-2, 4.5กษ, 10.1กษ, -0.2กษ, 0.6,  -
2014-3-3, 5.2กษ, 11.9กษ, -1.0กษ, 0.0,  -
2014-3-4, 6.3กษ, 12.3กษ, 2.2กษ, 5.5,  -
2014-3-5, 1.4กษ, 5.3กษ, -1.4กษ, 0.5, 0.0mm
2014-3-6, 0.3กษ, 5.0กษ, -3.0กษ, 1.9, 0.0mm
2014-3-7, -0.6กษ, 4.3กษ, -4.6กษ, 1.8,  -
2014-3-8, 2.0กษ, 7.0กษ, -2.2กษ, 5.1,  -
2014-3-9, 1.4กษ, 4.8กษ, -1.6กษ, 3.4, 2.2mm
2014-3-10, 1.5กษ, 7.7กษ, -3.6กษ, 0.0,  -
2014-3-11, 4.5กษ, 9.4กษ, -0.9กษ, 2.5,  -
2014-3-12, 6.9กษ, 9.5กษ, 4.0กษ, 8.6, 0.2mm
2014-3-13, 5.2กษ, 8.3กษ, 1.6กษ, 7.6, 0.0mm
2014-3-14, 3.4กษ, 8.5กษ, -1.5กษ, 1.0,  -
2014-3-15, 6.8กษ, 13.4กษ, 0.1กษ, 1.1,  -
2014-3-16, 11.3กษ, 18.5กษ, 5.7กษ, 3.0,  -
2014-3-17, 12.6กษ, 19.4กษ, 6.9กษ, 6.5, 0.5mm
2014-3-18, 10.5กษ, 16.0กษ, 7.7กษ, 6.3, 0.4mm
2014-3-19, 9.6กษ, 12.3กษ, 7.4กษ, 7.1,  -
2014-3-20, 6.3กษ, 10.3กษ, 2.8กษ, 6.8, 0.4mm
2014-3-21, 5.9กษ, 12.0กษ, 1.2กษ, 0.3,  -
2014-3-22, 8.6กษ, 15.5กษ, 2.3กษ, 1.0,  -
2014-3-23, 9.6กษ, 15.5กษ, 4.6กษ, 0.0,  -
2014-3-24, 10.9กษ, 15.3กษ, 4.6กษ, 5.9, 0.0mm
2014-3-25, 14.6กษ, 18.2กษ, 11.9กษ, 10.0, 0.0mm
2014-3-26, 15.4กษ, 21.9กษ, 11.8กษ, 5.4, 0.0mm
2014-3-27, 13.5กษ, 20.4กษ, 7.7กษ, 0.9,  -
2014-3-28, 16.6กษ, 23.8กษ, 11.3กษ, 5.5,  -
2014-3-29, 15.0กษ, 18.0กษ, 13.2กษ, 9.5, 3.5mm
2014-3-30, 14.9กษ, 20.6กษ, 10.2กษ, 2.9, 0.0mm
2014-3-31, 14.5กษ, 20.2กษ, 8.8กษ, 3.1,  -
2014-4-1, 15.6กษ, 23.0กษ, 9.5กษ, 2.4,  -
2014-4-2, 15.5กษ, 21.9กษ, 9.9กษ, 4.3,  -
2014-4-3, 10.2กษ, 13.6กษ, 5.5กษ, 8.0, 0.5mm
2014-4-4, 6.6กษ, 11.7กษ, 2.3กษ, 3.8,  -
2014-4-5, 6.2กษ, 11.0กษ, 3.5กษ, 3.5, 0.0mm
2014-4-6, 7.4กษ, 12.8กษ, 2.3กษ, 0.5,  -
2014-4-7, 10.3กษ, 16.7กษ, 4.9กษ, 3.4,  -
2014-4-8, 11.9กษ, 19.7กษ, 5.7กษ, 0.0,  -
2014-4-9, 10.3กษ, 15.3กษ, 7.0กษ, 5.8,  -
2014-4-10, 12.5กษ, 20.0กษ, 7.2กษ, 5.9,  -
2014-4-11, 13.6กษ, 18.7กษ, 10.1กษ, 5.3,  -
2014-4-12, 14.3กษ, 17.2กษ, 11.1กษ, 9.4,  -
2014-4-13, 17.2กษ, 24.3กษ, 13.2กษ, 6.4,  -
2014-4-14, 16.3กษ, 22.4กษ, 12.1กษ, 0.5,  -
2014-4-15, 12.9กษ, 16.8กษ, 9.3กษ, 4.1,  -
2014-4-16, 14.0กษ, 19.4กษ, 10.0กษ, 6.8,  -
2014-4-17, 14.7กษ, 20.9กษ, 8.4กษ, 6.9, 3.0mm
2014-4-18, 15.9กษ, 23.0กษ, 12.0กษ, 4.3,  -
2014-4-19, 14.0กษ, 18.4กษ, 11.4กษ, 7.9,  -
2014-4-20, 14.6กษ, 21.6กษ, 10.0กษ, 3.1,  -
2014-4-21, 15.1กษ, 21.4กษ, 9.8กษ, 3.9,  -
2014-4-22, 16.0กษ, 23.3กษ, 9.6กษ, 2.1,  -
2014-4-23, 17.2กษ, 24.9กษ, 10.4กษ, 0.0,  -
2014-4-24, 18.6กษ, 26.2กษ, 12.1กษ, 0.6,  -
2014-4-25, 19.0กษ, 25.9กษ, 12.3กษ, 0.4,  -
2014-4-26, 18.7กษ, 25.4กษ, 13.3กษ, 7.9,  -
2014-4-27, 15.6กษ, 18.3กษ, 13.6กษ, 10.0, 8.5mm
2014-4-28, 13.6กษ, 15.0กษ, 12.2กษ, 10.0, 13.5mm
2014-4-29, 15.0กษ, 18.9กษ, 11.9กษ, 9.3, 5.5mm
2014-4-30, 16.1กษ, 21.4กษ, 11.4กษ, 5.9, 0.0mm
2014-5-1, 16.0กษ, 22.1กษ, 10.4กษ, 0.0,  -
