ณฏยฅ, ฦ๒ฑีฑโฟย, รึฐํฑโฟย, รึภ๚ฑโฟย, ฦ๒ฑีฟ๎ทฎ, ภฯฐญผ๖ทฎ
2016-3-18, 13.4กษ, 20.1กษ, 8.8กษ, 4.4,  -
2016-3-19, 11.4กษ, 18.1กษ, 6.6กษ, 0.0,  -
2016-3-20, 10.6กษ, 17.5กษ, 4.9กษ, 0.5,  -
2016-3-21, 9.9กษ, 16.1กษ, 5.5กษ, 0.1,  -
2016-3-22, 8.0กษ, 13.8กษ, 3.5กษ, 3.9,  -
2016-3-23, 8.2กษ, 13.8กษ, 3.8กษ, 3.1,  -
2016-3-24, 7.2กษ, 12.7กษ, 1.6กษ, 0.4,  -
2016-3-25, 7.1กษ, 12.6กษ, 2.1กษ, 1.0,  -
2016-3-26, 6.5กษ, 12.6กษ, 2.1กษ, 0.5,  -
2016-3-27, 7.2กษ, 13.1กษ, 2.2กษ, 0.0,  -
2016-3-28, 9.8กษ, 17.4กษ, 2.3กษ, 0.3,  -
2016-3-29, 11.3กษ, 17.1กษ, 7.6กษ, 7.4, 0.1mm
2016-3-30, 11.5กษ, 18.3กษ, 7.0กษ, 2.0,  -
2016-3-31, 13.5กษ, 21.4กษ, 6.0กษ, 4.5,  -
2016-4-1, 15.3กษ, 23.8กษ, 7.3กษ, 3.0,  -
2016-4-2, 15.0กษ, 21.7กษ, 9.6กษ, 2.4,  -
2016-4-3, 10.7กษ, 12.7กษ, 8.2กษ, 8.0, 2.0mm
2016-4-4, 12.3กษ, 19.8กษ, 5.1กษ, 2.3,  -
2016-4-5, 11.4กษ, 18.1กษ, 5.9กษ, 0.8,  -
2016-4-6, 14.4กษ, 22.9กษ, 6.6กษ, 6.8, 3.0mm
2016-4-7, 14.1กษ, 20.6กษ, 10.5กษ, 3.9, 7.5mm
2016-4-8, 11.1กษ, 18.7กษ, 7.8กษ, 3.8,  -
2016-4-9, 10.7กษ, 14.1กษ, 7.4กษ, 8.0,  -
2016-4-10, 13.4กษ, 20.7กษ, 9.3กษ, 5.0,  -
2016-4-11, 12.5กษ, 19.4กษ, 5.7กษ, 0.0,  -
2016-4-12, 14.1กษ, 19.4กษ, 10.3กษ, 6.0,  -
2016-4-13, 15.6กษ, 21.4กษ, 11.4กษ, 5.1, 1.0mm
2016-4-14, 12.4กษ, 18.6กษ, 9.3กษ, 2.3,  -
2016-4-15, 15.0กษ, 23.1กษ, 8.1กษ, 0.0,  -
2016-4-16, 14.9กษ, 20.7กษ, 9.8กษ, 7.5, 23.5mm
2016-4-17, 10.8กษ, 14.5กษ, 8.3กษ, 6.1, 20.5mm
2016-4-18, 11.2กษ, 18.6กษ, 7.1กษ, 5.5, 1.5mm
2016-4-19, 12.0กษ, 19.2กษ, 6.5กษ, 2.5,  -
2016-4-20, 14.3กษ, 20.9กษ, 10.1กษ, 8.9, 0.5mm
2016-4-21, 13.5กษ, 16.9กษ, 10.3กษ, 9.4, 17.0mm
2016-4-22, 13.5กษ, 18.6กษ, 10.1กษ, 7.6, 0.0mm
