ณฏยฅ, ฦ๒ฑีฑโฟย, รึฐํฑโฟย, รึภ๚ฑโฟย, ฦ๒ฑีฟ๎ทฎ, ภฯฐญผ๖ทฎ
2017-1-1, 2.7กษ, 6.9กษ, -1.6กษ, 7.0,  -
2017-1-2, 5.0กษ, 9.2กษ, 1.8กษ, 7.6, 0.3mm
2017-1-3, 2.0กษ, 7.7กษ, -2.3กษ, 1.1,  -
2017-1-4, 3.9กษ, 8.9กษ, 1.0กษ, 2.6,  -
2017-1-5, 3.8กษ, 7.3กษ, -0.1กษ, 8.4,  -
2017-1-6, 5.4กษ, 11.4กษ, 2.5กษ, 4.1,  -
2017-1-7, 4.6กษ, 10.5กษ, 0.0กษ, 3.0,  -
2017-1-8, 6.5กษ, 10.9กษ, 4.0กษ, 8.1, 0.0mm
2017-1-9, 1.5กษ, 4.3กษ, -3.1กษ, 4.3, 0.0mm
2017-1-10, -3.7กษ, 1.1กษ, -7.4กษ, 0.8,  -
2017-1-11, -3.8กษ, 1.5กษ, -9.4กษ, 1.9,  -
2017-1-12, -2.2กษ, 1.0กษ, -6.1กษ, 2.1, 0.0mm
2017-1-13, -6.0กษ, -1.4กษ, -8.6กษ, 1.8, 0.6mm
2017-1-14, -8.4กษ, -5.4กษ, -10.5กษ, 0.0,  -
2017-1-15, -6.6กษ, -0.9กษ, -11.5กษ, 0.0,  -
2017-1-16, -3.8กษ, 4.0กษ, -8.9กษ, 0.1,  -
2017-1-17, -2.0กษ, 3.4กษ, -7.1กษ, 4.4,  -
2017-1-18, -0.5กษ, 2.8กษ, -3.0กษ, 4.0, 0.0mm
2017-1-19, -1.2กษ, 4.7กษ, -4.9กษ, 6.3,  -
2017-1-20, -4.4กษ, -1.4กษ, -7.8กษ, 4.8, 4.0mm
2017-1-21, -5.2กษ, -0.9กษ, -10.0กษ, 5.3, 2.1mm
2017-1-22, -8.3กษ, -3.3กษ, -10.9กษ, 0.0, 0.0mm
2017-1-23, -8.9กษ, -4.1กษ, -12.6กษ, 0.0,  -
2017-1-24, -7.0กษ, -1.3กษ, -11.6กษ, 0.0,  -
2017-1-25, -5.2กษ, 0.9กษ, -10.2กษ, 0.0,  -
2017-1-26, -1.3กษ, 3.4กษ, -7.9กษ, 6.9, 0.3mm
2017-1-27, -2.6กษ, 3.1กษ, -5.7กษ, 1.6, 3.0mm
2017-1-28, -1.6กษ, 4.3กษ, -8.2กษ, 6.6,  -
2017-1-29, 0.8กษ, 2.5กษ, -0.9กษ, 9.6, 4.5mm
2017-1-30, -4.8กษ, -0.9กษ, -7.9กษ, 2.9, 0.1mm
2017-1-31, -5.4กษ, 0.2กษ, -9.9กษ, 3.1,  -
2017-2-1, -4.0กษ, 0.7กษ, -7.5กษ, 1.4,  -
2017-2-2, -2.7กษ, 3.3กษ, -9.2กษ, 1.3,  -
2017-2-3, 1.5กษ, 6.7กษ, -2.3กษ, 2.3,  -
2017-2-4, 0.9กษ, 3.2กษ, -2.9กษ, 7.0,  -
2017-2-5, 1.2กษ, 2.3กษ, -1.5กษ, 7.3, 0.5mm
2017-2-6, -1.7กษ, 2.6กษ, -4.4กษ, 0.0,  -
2017-2-7, -2.0กษ, 3.0กษ, -5.6กษ, 5.3,  -
2017-2-8, -2.2กษ, 0.6กษ, -4.9กษ, 6.8,  -
2017-2-9, -5.3กษ, -2.1กษ, -7.1กษ, 1.5,  -
2017-2-10, -6.6กษ, -2.5กษ, -9.3กษ, 0.9,  -
2017-2-11, -4.8กษ, 0.8กษ, -9.2กษ, 0.3,  -
2017-2-12, -2.2กษ, 4.2กษ, -7.4กษ, 0.0,  -
2017-2-13, 0.1กษ, 6.1กษ, -5.4กษ, 4.3,  -
2017-2-14, 0.3กษ, 6.5กษ, -4.0กษ, 0.0,  -
2017-2-15, 1.8กษ, 8.0กษ, -3.9กษ, 0.0,  -
2017-2-16, 5.5กษ, 10.3กษ, -1.9กษ, 5.8, 0.0mm
2017-2-17, 0.8กษ, 9.0กษ, -5.2กษ, 3.1, 4.0mm
2017-2-18, -2.6กษ, 2.9กษ, -7.0กษ, 0.6,  -
2017-2-19, 2.3กษ, 5.7กษ, -3.4กษ, 7.0, 1.0mm
2017-2-20, -1.5กษ, 5.4กษ, -5.2กษ, 2.5, 0.5mm
2017-2-21, -0.6กษ, 6.9กษ, -7.6กษ, 4.5,  -
2017-2-22, 1.7กษ, 2.9กษ, -0.9กษ, 9.9, 5.1mm
2017-2-23, -1.5กษ, 2.1กษ, -4.2กษ, 1.1,  -
2017-2-24, -0.8กษ, 4.4กษ, -5.8กษ, 2.1,  -
2017-2-25, 2.6กษ, 8.4กษ, -2.8กษ, 1.8,  -
2017-2-26, 3.6กษ, 10.1กษ, -1.5กษ, 0.1,  -
2017-2-27, 3.7กษ, 10.7กษ, -1.8กษ, 0.0,  -
2017-2-28, 5.6กษ, 12.3กษ, -1.3กษ, 2.1,  -
2017-3-1, 5.0กษ, 11.4กษ, 2.0กษ, 9.8, 5.0mm
2017-3-2, 1.8กษ, 6.6กษ, -1.1กษ, 4.1, 0.5mm
2017-3-3, 3.3กษ, 10.4กษ, -3.1กษ, 1.3,  -
2017-3-4, 5.7กษ, 12.7กษ, 0.1กษ, 0.1,  -
2017-3-5, 5.2กษ, 10.4กษ, 1.2กษ, 6.1, 0.5mm
2017-3-6, 0.1กษ, 4.0กษ, -2.8กษ, 0.5,  -
2017-3-7, -1.3กษ, 2.9กษ, -4.0กษ, 1.0, 0.0mm
2017-3-8, -0.1กษ, 5.0กษ, -5.3กษ, 2.8, 0.0mm
2017-3-9, 3.2กษ, 10.7กษ, -2.7กษ, 0.8,  -
2017-3-10, 4.8กษ, 12.2กษ, -1.2กษ, 0.1,  -
2017-3-11, 7.3กษ, 16.7กษ, -0.2กษ, 3.0,  -
2017-3-12, 8.2กษ, 14.0กษ, 4.4กษ, 9.0, 0.0mm
2017-3-13, 6.9กษ, 12.2กษ, 1.5กษ, 3.4,  -
2017-3-14, 5.8กษ, 10.9กษ, 1.0กษ, 0.5,  -
2017-3-15, 6.3กษ, 13.3กษ, 0.4กษ, 0.1,  -
2017-3-16, 6.2กษ, 13.4กษ, 1.0กษ, 3.0,  -
2017-3-17, 7.7กษ, 15.7กษ, 1.2กษ, 1.9,  -
2017-3-18, 9.5กษ, 16.1กษ, 5.9กษ, 3.5,  -
2017-3-19, 10.9กษ, 18.9กษ, 3.2กษ, 0.3,  -
2017-3-20, 10.2กษ, 15.5กษ, 6.0กษ, 8.3,  -
2017-3-21, 7.4กษ, 12.6กษ, 4.3กษ, 2.0,  -
2017-3-22, 7.6กษ, 14.1กษ, 1.9กษ, 4.8,  -
2017-3-23, 9.1กษ, 15.0กษ, 5.1กษ, 4.6,  -
2017-3-24, 8.7กษ, 15.2กษ, 3.9กษ, 6.8,  -
2017-3-25, 8.1กษ, 12.6กษ, 5.0กษ, 6.0,  -
2017-3-26, 7.3กษ, 11.6กษ, 4.8กษ, 7.1,  -
2017-3-27, 6.1กษ, 10.9กษ, 4.4กษ, 6.0, 0.4mm
2017-3-28, 7.1กษ, 12.7กษ, 2.5กษ, 6.4,  -
2017-3-29, 8.8กษ, 14.4กษ, 4.7กษ, 4.3,  -
2017-3-30, 10.6กษ, 17.1กษ, 4.1กษ, 4.9,  -
2017-3-31, 8.6กษ, 12.4กษ, 4.9กษ, 8.3, 1.5mm
2017-4-1, 9.0กษ, 15.1กษ, 4.8กษ, 4.8, 1.0mm
2017-4-2, 9.0กษ, 15.8กษ, 3.1กษ, 0.9,  -
2017-4-3, 11.4กษ, 19.2กษ, 4.3กษ, 0.0,  -
2017-4-4, 14.1กษ, 21.8กษ, 6.7กษ, 4.0,  -
2017-4-5, 12.0กษ, 14.2กษ, 10.8กษ, 9.9, 37.5mm
2017-4-6, 10.4กษ, 12.4กษ, 9.4กษ, 9.6, 3.0mm
2017-4-7, 14.5กษ, 23.5กษ, 9.0กษ, 6.8,  -
2017-4-8, 13.0กษ, 19.9กษ, 8.6กษ, 8.3, 0.5mm
2017-4-9, 14.8กษ, 20.5กษ, 10.6กษ, 8.0, 0.5mm
2017-4-10, 16.5กษ, 23.3กษ, 10.1กษ, 5.5,  -
2017-4-11, 15.3กษ, 20.2กษ, 11.5กษ, 5.3,  -
2017-4-12, 11.5กษ, 16.4กษ, 8.8กษ, 1.9,  -
2017-4-13, 12.7กษ, 19.6กษ, 6.3กษ, 3.0, 0.0mm
2017-4-14, 13.0กษ, 17.7กษ, 10.1กษ, 6.9, 6.0mm
2017-4-15, 16.8กษ, 24.3กษ, 10.9กษ, 3.3,  -
2017-4-16, 18.7กษ, 24.4กษ, 12.9กษ, 8.1,  -
2017-4-17, 14.7กษ, 18.0กษ, 11.2กษ, 8.3, 5.5mm
2017-4-18, 11.7กษ, 17.4กษ, 9.4กษ, 5.3, 7.5mm
2017-4-19, 12.6กษ, 18.4กษ, 7.0กษ, 2.0,  -
2017-4-20, 12.9กษ, 18.2กษ, 9.9กษ, 7.4, 0.1mm
2017-4-21, 13.1กษ, 19.3กษ, 7.6กษ, 3.1,  -
2017-4-22, 14.8กษ, 22.5กษ, 8.5กษ, 0.5,  -
2017-4-23, 14.9กษ, 21.7กษ, 8.9กษ, 0.1,  -
2017-4-24, 15.1กษ, 21.3กษ, 8.3กษ, 4.8,  -
2017-4-25, 16.0กษ, 20.4กษ, 12.9กษ, 7.9,  -
2017-4-26, 15.1กษ, 20.2กษ, 10.5กษ, 2.0,  -
2017-4-27, 13.6กษ, 19.8กษ, 7.9กษ, 0.4,  -
2017-4-28, 14.4กษ, 21.5กษ, 8.9กษ, 3.3,  -
2017-4-29, 17.1กษ, 23.7กษ, 9.6กษ, 0.0,  -
2017-4-30, 19.3กษ, 27.8กษ, 13.7กษ, 0.0,  -
2017-5-1, 20.1กษ, 28.3กษ, 12.8กษ, 0.0,  -
2017-5-2, 20.7กษ, 28.0กษ, 15.2กษ, 3.1,  -
2017-5-3, 21.5กษ, 30.2กษ, 14.5กษ, 0.0,  -
2017-5-4, 21.0กษ, 27.5กษ, 14.8กษ, 7.4,  -
2017-5-5, 20.9กษ, 27.0กษ, 15.5กษ, 5.1,  -
2017-5-6, 14.9กษ, 19.3กษ, 10.0กษ, 0.9,  -
2017-5-7, 16.6กษ, 22.8กษ, 10.9กษ, 0.5,  -
2017-5-8, 17.9กษ, 23.5กษ, 11.1กษ, 7.3,  -
2017-5-9, 17.1กษ, 22.6กษ, 15.3กษ, 9.4, 2.5mm
2017-5-10, 16.4กษ, 20.8กษ, 14.2กษ, 6.9, 2.5mm
2017-5-11, 19.3กษ, 24.8กษ, 13.1กษ, 7.6, 0.0mm
2017-5-12, 19.1กษ, 21.1กษ, 16.8กษ, 8.0,  -
2017-5-13, 16.4กษ, 22.6กษ, 12.4กษ, 6.8, 6.0mm
2017-5-14, 15.7กษ, 20.7กษ, 11.0กษ, 0.6,  -
2017-5-15, 16.0กษ, 20.1กษ, 12.3กษ, 5.5, 0.0mm
2017-5-16, 17.1กษ, 22.3กษ, 13.3กษ, 6.4,  -
2017-5-17, 18.7กษ, 25.9กษ, 12.3กษ, 0.5,  -
2017-5-18, 20.4กษ, 26.9กษ, 13.9กษ, 1.5,  -
2017-5-19, 21.1กษ, 27.9กษ, 15.1กษ, 0.0,  -
2017-5-20, 20.9กษ, 27.3กษ, 15.4กษ, 5.1,  -
2017-5-21, 21.5กษ, 27.6กษ, 16.0กษ, 2.8,  -
2017-5-22, 21.8กษ, 28.0กษ, 15.9กษ, 2.8,  -
2017-5-23, 20.0กษ, 24.4กษ, 17.2กษ, 9.1, 5.0mm
2017-5-24, 21.8กษ, 27.8กษ, 16.9กษ, 2.9, 0.1mm
2017-5-25, 19.2กษ, 24.4กษ, 14.4กษ, 0.9,  -
2017-5-26, 17.7กษ, 23.2กษ, 12.4กษ, 1.9,  -
2017-5-27, 19.5กษ, 26.4กษ, 13.7กษ, 0.1,  -
2017-5-28, 21.2กษ, 27.9กษ, 14.4กษ, 1.0,  -
2017-5-29, 22.9กษ, 29.3กษ, 18.1กษ, 4.6,  -
2017-5-30, 23.6กษ, 30.3กษ, 18.6กษ, 6.0,  -
2017-5-31, 23.3กษ, 29.6กษ, 17.7กษ, 5.4,  -
2017-6-1, 23.3กษ, 27.0กษ, 20.0กษ, 4.3,  -
2017-6-2, 20.5กษ, 25.6กษ, 15.5กษ, 3.1, 0.0mm
2017-6-3, 20.5กษ, 26.5กษ, 16.1กษ, 1.9,  -
2017-6-4, 21.7กษ, 28.1กษ, 15.1กษ, 1.8,  -
2017-6-5, 24.2กษ, 30.3กษ, 16.4กษ, 4.9, 0.0mm
2017-6-6, 19.4กษ, 23.9กษ, 14.5กษ, 9.8, 15.5mm
2017-6-7, 17.6กษ, 19.2กษ, 15.1กษ, 8.8, 12.5mm
2017-6-8, 20.1กษ, 25.9กษ, 15.1กษ, 3.9,  -
2017-6-9, 21.2กษ, 25.7กษ, 17.9กษ, 6.9, 0.1mm
2017-6-10, 21.5กษ, 27.5กษ, 16.7กษ, 6.9, 4.5mm
2017-6-11, 22.8กษ, 29.6กษ, 14.8กษ, 1.0,  -
2017-6-12, 22.1กษ, 28.0กษ, 17.0กษ, 4.9,  -
2017-6-13, 21.5กษ, 25.9กษ, 18.3กษ, 7.0, 0.0mm
2017-6-14, 21.8กษ, 26.8กษ, 17.8กษ, 1.6,  -
2017-6-15, 23.1กษ, 29.6กษ, 18.0กษ, 1.5,  -
2017-6-16, 25.5กษ, 32.7กษ, 20.0กษ, 1.3,  -
2017-6-17, 24.2กษ, 29.9กษ, 20.6กษ, 0.0,  -
2017-6-18, 24.3กษ, 31.8กษ, 18.6กษ, 0.8,  -
2017-6-19, 24.8กษ, 30.2กษ, 19.5กษ, 5.6,  -
2017-6-20, 26.0กษ, 32.7กษ, 20.0กษ, 6.6, 0.0mm
2017-6-21, 25.4กษ, 31.6กษ, 21.7กษ, 3.0, 0.0mm
2017-6-22, 25.3กษ, 30.4กษ, 21.2กษ, 3.9,  -
2017-6-23, 26.7กษ, 34.1กษ, 21.3กษ, 4.1,  -
2017-6-24, 24.5กษ, 27.8กษ, 21.5กษ, 9.5, 3.5mm
2017-6-25, 23.8กษ, 28.4กษ, 21.0กษ, 7.1, 1.5mm
2017-6-26, 23.1กษ, 29.9กษ, 20.1กษ, 8.8, 29.0mm
2017-6-27, 25.2กษ, 30.5กษ, 20.8กษ, 6.4, 0.0mm
2017-6-28, 26.0กษ, 30.5กษ, 22.5กษ, 6.1,  -
2017-6-29, 26.2กษ, 31.5กษ, 21.9กษ, 3.8,  -
2017-6-30, 25.9กษ, 30.9กษ, 22.2กษ, 4.9,  -
2017-7-1, 25.3กษ, 30.7กษ, 22.4กษ, 9.4, 0.5mm
2017-7-2, 24.3กษ, 26.8กษ, 21.9กษ, 10.0, 92.0mm
2017-7-3, 24.7กษ, 27.4กษ, 21.9กษ, 9.9, 67.5mm
2017-7-4, 26.7กษ, 31.6กษ, 23.8กษ, 6.5, 0.5mm
2017-7-5, 27.4กษ, 32.6กษ, 23.3กษ, 4.8,  -
2017-7-6, 27.6กษ, 34.6กษ, 23.9กษ, 7.1, 34.0mm
2017-7-7, 26.4กษ, 28.4กษ, 24.4กษ, 9.5, 16.5mm
2017-7-8, 26.0กษ, 27.6กษ, 24.6กษ, 9.9, 4.5mm
2017-7-9, 26.3กษ, 30.3กษ, 23.8กษ, 9.6, 32.5mm
2017-7-10, 24.0กษ, 25.4กษ, 22.6กษ, 10.0, 144.5mm
2017-7-11, 26.0กษ, 30.9กษ, 22.2กษ, 8.8, 1.0mm
2017-7-12, 27.1กษ, 31.1กษ, 24.9กษ, 6.1, 0.0mm
2017-7-13, 27.6กษ, 32.1กษ, 23.1กษ, 2.6,  -
2017-7-14, 28.7กษ, 33.0กษ, 26.1กษ, 7.0, 0.0mm
2017-7-15, 25.0กษ, 27.3กษ, 23.4กษ, 10.0, 42.5mm
