ณฏยฅ, ฦ๒ฑีฑโฟย, รึฐํฑโฟย, รึภ๚ฑโฟย, ฦ๒ฑีฟ๎ทฎ, ภฯฐญผ๖ทฎ
2015-1-1, -7.7กษ, -4.3กษ, -9.8กษ, 0.8,  -
2015-1-2, -6.0กษ, -1.9กษ, -9.0กษ, 1.9,  -
2015-1-3, -2.7กษ, 3.1กษ, -9.2กษ, 3.9,  -
2015-1-4, 2.5กษ, 8.5กษ, 0.2กษ, 4.3, 0.0mm
2015-1-5, 3.7กษ, 7.9กษ, -1.1กษ, 7.1, 0.4mm
2015-1-6, -3.2กษ, 4.0กษ, -7.6กษ, 2.6, 3.0mm
2015-1-7, -5.5กษ, -0.6กษ, -8.9กษ, 0.3,  -
2015-1-8, -5.1กษ, -0.2กษ, -9.5กษ, 0.0,  -
2015-1-9, -2.1กษ, 3.5กษ, -6.8กษ, 0.6,  -
2015-1-10, -0.3กษ, 4.8กษ, -5.6กษ, 0.6,  -
2015-1-11, -0.4กษ, 2.5กษ, -4.3กษ, 1.3,  -
2015-1-12, -2.7กษ, 3.7กษ, -7.3กษ, 0.0,  -
2015-1-13, 0.2กษ, 5.8กษ, -5.1กษ, 5.4,  -
2015-1-14, 2.5กษ, 6.1กษ, -0.3กษ, 9.0,  -
2015-1-15, 2.8กษ, 9.0กษ, -1.1กษ, 2.6,  -
2015-1-16, 0.8กษ, 3.4กษ, -2.5กษ, 8.1, 0.3mm
2015-1-17, -4.1กษ, 0.0กษ, -7.7กษ, 0.3,  -
2015-1-18, -1.3กษ, 2.1กษ, -6.5กษ, 7.6, 4.0mm
2015-1-19, -0.1กษ, 3.1กษ, -4.0กษ, 1.6, 0.1mm
2015-1-20, -0.9กษ, 4.4กษ, -6.4กษ, 4.6,  -
2015-1-21, 2.6กษ, 6.5กษ, -1.2กษ, 8.8,  -
2015-1-22, 3.1กษ, 7.1กษ, 0.8กษ, 5.1,  -
2015-1-23, 1.2กษ, 4.9กษ, -1.6กษ, 3.4,  -
2015-1-24, 3.7กษ, 8.4กษ, 0.8กษ, 6.3,  -
2015-1-25, 3.0กษ, 5.0กษ, 1.1กษ, 9.5, 3.0mm
2015-1-26, 3.6กษ, 6.5กษ, 0.2กษ, 8.4, 0.5mm
2015-1-27, -3.6กษ, 0.5กษ, -7.4กษ, 1.1,  -
2015-1-28, -4.1กษ, 2.7กษ, -9.1กษ, 1.6,  -
2015-1-29, -1.1กษ, 3.0กษ, -4.6กษ, 9.3,  -
2015-1-30, -3.3กษ, 0.8กษ, -7.0กษ, 3.3,  -
2015-1-31, -4.5กษ, 0.8กษ, -8.5กษ, 0.0,  -
2015-2-1, -3.0กษ, 3.6กษ, -8.2กษ, 0.3,  -
2015-2-2, -0.6กษ, 6.4กษ, -5.3กษ, 2.4,  -
2015-2-3, 0.6กษ, 7.2กษ, -3.5กษ, 3.9,  -
2015-2-4, 0.4กษ, 5.8กษ, -3.1กษ, 3.4,  -
