사용월,호선명,지하철역,22시-23시 하차인원,23시-24시 하차인원,00시-01시 하차인원,총하차승객수
201712,5호선,서대문,11700,7146,2430,32976
201712,5호선,충정로(경기대입구),4847,3434,980,14108
201712,5호선,애오개,11450,7943,4222,35065
201712,5호선,공덕,13585,9568,2846,39584
201712,5호선,마포,16022,11387,3414,46845
201712,5호선,여의나루,4265,2839,1141,12510
201712,5호선,여의도,8882,6343,4043,28150
201712,5호선,신길,7236,4843,1355,20670
201712,5호선,영등포시장,9134,7020,1676,26964
201712,5호선,영등포구청,3950,2664,763,11327
201712,5호선,오목교(목동운동장앞),32955,22986,6916,95812
201712,5호선,목동,39085,26892,8991,114053
201712,5호선,신정(은행정),27363,20380,6010,81116
201712,경의선,서울역,0,0,0,0
201712,경의선,공덕,0,0,0,0
201712,경의선,홍대입구,0,0,0,0
201712,경의선,김포공항,0,0,0,0
201712,경인선,개봉,49586,34941,5199,139312
201712,경인선,오류동,21054,15582,3693,61383
201712,경인선,구일,13188,9377,1672,37425
201712,우이신설선,신설동,795,639,423,2652
201712,우이신설선,보문,1953,1291,449,5646
201712,우이신설선,성신여대입구(돈암),3140,2617,767,9664
201712,우이신설선,정릉,5929,3853,1130,16841
201712,우이신설선,북한산보국문,9985,7278,1951,29199
201712,우이신설선,솔샘,11826,7519,2970,34141
201712,우이신설선,삼양사거리,3309,2083,786,9487
201712,우이신설선,삼양,3234,2331,752,9551
201712,우이신설선,화계,4690,3392,1025,13797
201712,우이신설선,가오리,6702,4603,1603,19610
201712,5호선,까치산,67861,47473,14346,197541
201712,5호선,화곡,63692,43633,12791,183808
201712,5호선,우장산,32684,23134,6912,95414
201712,5호선,발산,15328,10175,3891,44722
201712,5호선,마곡,11611,8347,3451,35020
201712,5호선,김포공항,2463,1363,627,6916
201712,5호선,개화산,10447,6958,2852,30704
201712,5호선,방화,15534,11086,4426,46580
201712,4호선,사당,40872,28997,11363,122104
201712,4호선,총신대입구(이수),36311,24783,6974,104379
201712,4호선,동작(현충원),3163,2454,1065,9845
201712,4호선,이촌(국립중앙박물관),10477,7251,2402,30607
201712,4호선,신용산,10036,6290,1849,28211
201712,4호선,삼각지,6357,4992,1964,19670
201712,4호선,숙대입구(갈월),19642,14332,3645,57261
201712,4호선,서울역,26837,17453,6837,77964
201712,4호선,회현(남대문시장),11294,8040,2384,33012
201712,4호선,명동,23820,14968,4763,67371
201712,4호선,충무로,18469,14324,4938,56200
201712,4호선,동대문역사문화공원,18309,13990,4036,54644
201712,4호선,동대문,11325,10063,2909,35622
201712,4호선,혜화,25602,17222,6998,75424
201712,4호선,한성대입구(삼선교),26072,17791,12450,82385
201712,4호선,성신여대입구(돈암),40006,29794,7815,117621
201712,4호선,길음,47561,35043,8459,138624
201712,4호선,미아사거리,57109,37184,8621,160023
201712,4호선,미아(서울사이버대학),29829,21011,5423,86092
201712,4호선,수유(강북구청),81724,57212,15583,236243
201712,4호선,쌍문,71492,54016,18577,215577
201712,4호선,남태령,1192,898,383,3665
201712,4호선,창동,60657,48340,17782,187436
201712,4호선,노원,45953,37556,13221,142683
201712,4호선,상계,42353,35548,11454,131708
201712,4호선,당고개,26805,21800,7744,83154
201712,3호선,오금,13661,10116,3425,40863
201712,3호선,경찰병원,11628,8729,2576,34561
201712,3호선,가락시장,15042,10851,3548,44483
201712,3호선,수서,27757,14503,7150,77167
201712,3호선,일원,12215,7547,2770,34747
201712,3호선,대청,16613,11883,3979,49088
201712,3호선,학여울,2842,2150,768,8602
201712,3호선,대치,15819,11922,4025,47585
201712,3호선,도곡,8038,5802,3484,25362
201712,3호선,매봉,10157,6962,2226,29502
201712,3호선,양재(서초구청),34052,22174,6683,96961
201712,3호선,남부터미널(예술의전당),25636,15629,4105,71006
201712,3호선,교대(법원.검찰청),4897,3482,1236,14512
201712,3호선,고속터미널,43735,25086,5159,117715
201712,3호선,잠원,11851,7868,2445,34015
201712,3호선,신사,19872,16877,6169,62790
201712,3호선,압구정,16232,10296,4246,47006
201712,3호선,옥수,20398,12901,3642,57339
201712,3호선,금호,17897,11628,3593,51015
201712,3호선,약수,21194,15340,6307,64035
201712,3호선,동대입구,6270,4663,1575,18778
201712,3호선,충무로,0,0,0,0
201712,3호선,을지로3가,3252,2500,751,9755
201712,3호선,종로3가,4613,3412,1168,13806
201712,3호선,안국,7674,5182,1606,22136
201712,3호선,경복궁(정부서울청사),14476,9580,3042,41574
201712,3호선,독립문,10506,7913,3802,32727
201712,3호선,무악재,9506,6937,2327,28276
201712,3호선,홍제,36474,25208,6912,105068
201712,3호선,녹번,24209,17049,4824,70291
201712,3호선,불광,34613,23871,7798,100895
201712,3호선,연신내,87212,63652,22176,260252
201712,3호선,구파발,34289,27095,9654,105327
201712,2호선,용두(동대문구청),2889,2035,635,8448
201712,2호선,신정네거리,20898,15342,4681,61819
201712,2호선,양천구청,15082,13818,4656,48638
201712,2호선,도림천,1409,1196,457,4471
201712,2호선,신설동,2941,2496,896,9274
201712,2호선,신답,2776,2300,694,8546
201712,2호선,용답,5914,4165,1299,17292
201712,2호선,충정로(경기대입구),14256,10425,3584,42521
201712,2호선,아현,19544,14658,4775,58521
201712,2호선,이대,18869,15216,5352,58306
201712,2호선,신촌,51775,39964,14027,157541
201712,2호선,홍대입구,100279,76852,28500,305910
201712,2호선,합정,41826,31371,11348,126371
201712,2호선,당산,41900,31949,9704,125453
201712,2호선,영등포구청,25805,19881,7733,79224
201712,2호선,문래,22279,16930,5806,67294
201712,2호선,신도림,102124,84416,40227,328891
201712,2호선,대림(구로구청),71344,39771,11748,194207
201712,2호선,구로디지털단지,115817,80209,23694,335537
201712,2호선,신대방,72986,47395,14223,207590
201712,2호선,신림,173671,124732,42588,514662
201712,2호선,봉천,46886,30684,10240,134696
201712,2호선,서울대입구(관악구청),107554,77325,29283,321716
201712,2호선,낙성대,68022,50000,16680,202724
201712,2호선,사당,88636,62953,21335,261560
201712,2호선,방배,26085,18066,6212,76448
201712,2호선,서초,13860,8635,2565,38920
201712,2호선,교대(법원.검찰청),32137,20550,6659,91483
201712,2호선,강남,71430,47443,15521,205824
201712,2호선,역삼,21315,14561,5575,62766
201712,2호선,선릉,23918,16690,8917,73443
201712,2호선,삼성(무역센터),21036,13504,7404,62980
201712,2호선,종합운동장,27731,18658,4969,79089
201712,2호선,잠실새내,48154,31135,10476,137919
201712,2호선,잠실(송파구청),123455,87917,22356,357183
201712,2호선,잠실나루,27307,19463,6927,81004
201712,2호선,강변(동서울터미널),77745,48810,13412,217712
201712,2호선,구의(광진구청),51321,32601,11543,146786
201712,2호선,건대입구,81114,53139,20153,235520
201712,2호선,성수,19427,14599,9441,62894
201712,2호선,뚝섬,18241,12813,5401,54696
201712,2호선,한양대,6550,5119,2038,20257
201712,2호선,왕십리(성동구청),26916,20549,9613,83994
201712,2호선,상왕십리,26048,17635,6573,76304
201712,2호선,신당,23086,17070,6087,69329
201712,2호선,동대문역사문화공원,23479,16421,6460,69839
201712,2호선,을지로4가,5614,4212,1293,16733
201712,2호선,을지로3가,8721,6394,2362,26198
201712,2호선,을지로입구,21066,14736,5259,62127
201712,2호선,시청,8105,5857,2139,24206
201712,1호선,동묘앞,8310,5786,4396,26802
