"사용일자","노선명","역ID","역명",승차총승객수,하차총승객수,"등록일자"
"20160401","9호선","4114","국회의사당",20058,20506,"20160409"
"20160401","9호선","4115","여의도",25647,24319,"20160409"
"20160401","9호선","4116","샛강",6082,6649,"20160409"
"20160401","9호선","4117","노량진",31405,32836,"20160409"
"20160401","9호선","4118","노들",5733,4769,"20160409"
"20160401","9호선","4119","흑석(중앙대입구)",15698,15297,"20160409"
"20160401","9호선","4120","동작",2408,1870,"20160409"
"20160401","9호선","4121","구반포",3716,3997,"20160409"
"20160401","9호선","4122","신반포",3871,4078,"20160409"
"20160401","9호선","4123","고속터미널",20178,24263,"20160409"
"20160401","9호선","4124","사평",3547,3231,"20160409"
"20160401","9호선","4125","신논현",34134,34958,"20160409"
"20160401","9호선2단계","4126","언주",8592,8571,"20160409"
"20160401","9호선2단계","4127","선정릉",7938,8036,"20160409"
"20160401","9호선2단계","4128","삼성중앙",5639,5774,"20160409"
"20160401","9호선2단계","4129","봉은사",14781,13970,"20160409"
"20160401","9호선2단계","4130","종합운동장",6046,5024,"20160409"
"20160401","경부선","1001","서울역",1,0,"20160409"
"20160401","경부선","1002","남영",15329,16459,"20160409"
"20160401","경부선","1003","용산",44560,44990,"20160409"
"20160401","경부선","1004","노량진",22469,21693,"20160409"
"20160401","경부선","1005","대방",18916,18621,"20160409"
"20160401","경부선","1006","영등포",58925,63634,"20160409"
"20160401","경부선","1007","신도림",4417,4526,"20160409"
"20160401","경부선","1032","신길",12783,10481,"20160409"
"20160401","경부선","1701","구로",25497,26667,"20160409"
"20160401","경부선","1702","가산디지털단지",20705,24262,"20160409"
"20160401","경부선","1703","금천구청",13884,12864,"20160409"
"20160401","경부선","1704","석수",14398,12896,"20160409"
"20160401","경부선","1705","관악",10627,9772,"20160409"
"20160401","경부선","1706","안양",36969,37408,"20160409"
"20160401","경부선","1707","명학",12859,12755,"20160409"
"20160401","경부선","1708","금정",35166,34726,"20160409"
"20160401","경부선","1709","군포",9122,8548,"20160409"
"20160401","경부선","1710","의왕",10817,10041,"20160409"
"20160401","경부선","1711","성균관대",22080,20147,"20160409"
"20160401","경부선","1712","화서",10642,10500,"20160409"
"20160401","경부선","1713","수원",53659,58805,"20160409"
"20160401","경부선","1714","독산",19818,20400,"20160409"
"20160401","경부선","1715","세류",4806,4407,"20160409"
"20160401","경부선","1716","병점",21426,20737,"20160409"
"20160401","경원선","1017","신이문",11811,10078,"20160409"
"20160401","경원선","1018","석계",13473,14200,"20160409"
"20160401","경원선","1019","광운대",13618,12270,"20160409"
"20160401","경원선","1020","월계",8808,8128,"20160409"
"20160401","경원선","1021","녹천",6122,4914,"20160409"
"20160401","경원선","1901","방학",12067,11610,"20160409"
"20160401","경원선","1902","도봉",7692,7307,"20160409"
"20160401","경원선","1903","도봉산",5368,4938,"20160409"
"20160401","경원선","1904","망월사",10663,10400,"20160409"
"20160401","경원선","1905","회룡",15896,15023,"20160409"
"20160401","경원선","1906","의정부",26230,27794,"20160409"
"20160401","경원선","1907","가능",9281,8796,"20160409"
"20160401","경원선","1908","녹양",6238,5482,"20160409"
"20160401","경원선","1909","양주",10977,9361,"20160409"
"20160401","경원선","1910","덕계",2617,2442,"20160409"
"20160401","경원선","1911","덕정",9319,8612,"20160409"
"20160401","경원선","1912","지행",8509,8541,"20160409"
"20160401","경원선","1913","동두천 중앙",4678,4406,"20160409"
"20160401","경원선","1914","보산",2250,1903,"20160409"
"20160401","경원선","1915","동두천",2748,3260,"20160409"
"20160401","경원선","1916","소요산",5344,4065,"20160409"
"20160401","경의선","1251","서울역",3817,4716,"20160409"
"20160401","경의선","1252","신촌",1010,1470,"20160409"
"20160401","경의선","1262","공덕",2565,2696,"20160409"
"20160401","경의선","1263","서강대",2941,2756,"20160409"
"20160401","경의선","1264","홍대입구",1707,2583,"20160409"
"20160401","경의선","1265","가좌",5404,4907,"20160409"
"20160401","경의선","1266","디지털미디어시티",2774,2643,"20160409"
"20160401","경의선","1267","수색",2630,2790,"20160409"
"20160401","경의선","1268","화전",3660,3243,"20160409"
"20160401","경의선","1269","강매",3027,2550,"20160409"
"20160401","경의선","1270","행신",9136,8752,"20160409"
"20160401","경의선","1271","능곡",4464,4088,"20160409"
"20160401","경의선","1272","곡산",617,613,"20160409"
"20160401","경의선","1273","백마",8321,7640,"20160409"
"20160401","경의선","1274","풍산",5372,4913,"20160409"
"20160401","경의선","1275","일산",11449,11371,"20160409"
"20160401","경의선","1276","탄현",9506,8834,"20160409"
"20160401","경의선","1277","야당",3327,3068,"20160409"
"20160401","경의선","1278","운정",5976,5371,"20160409"
"20160401","경의선","1279","금릉",5717,5781,"20160409"
"20160401","8호선","2818","가락시장",8194,9687,"20160409"
"20160401","8호선","2819","문정",8509,8354,"20160409"
"20160401","8호선","2820","장지",17257,16438,"20160409"
"20160401","8호선","2821","복정",12127,9279,"20160409"
"20160401","8호선","2822","산성",8955,8317,"20160409"
"20160401","8호선","2823","남한산성입구",18588,16875,"20160409"
"20160401","8호선","2824","단대오거리",16523,14365,"20160409"
"20160401","8호선","2825","신흥",6287,6531,"20160409"
"20160401","8호선","2826","수진",5952,5329,"20160409"
"20160401","8호선","2827","모란",5083,3811,"20160409"
"20160401","9호선","4101","개화",7888,4889,"20160409"
