"사용일자","노선명","역ID","역명",승차총승객수,하차총승객수,"등록일자"
"20160201","2호선","0219","삼성",60547,62943,"20160209"
"20160201","2호선","0220","선릉",69807,60434,"20160209"
"20160201","2호선","0221","역삼",59362,65442,"20160209"
"20160201","2호선","0222","강남",117796,117567,"20160209"
"20160201","2호선","0223","교대",44115,48921,"20160209"
"20160201","2호선","0224","서초",24709,25593,"20160209"
"20160201","2호선","0225","방배",22121,22211,"20160209"
"20160201","2호선","0226","사당",44831,50133,"20160209"
"20160201","2호선","0227","낙성대",33204,32208,"20160209"
"20160201","2호선","0228","서울대입구",55795,55144,"20160209"
"20160201","2호선","0229","봉천",26515,24685,"20160209"
"20160201","2호선","0230","신림",77933,75767,"20160209"
"20160201","2호선","0231","신대방",29536,28011,"20160209"
"20160201","2호선","0232","구로디지털단지",72319,72982,"20160209"
"20160201","1호선","0150","서울역",60022,55554,"20160209"
"20160201","1호선","0151","시청",27457,27523,"20160209"
"20160201","1호선","0152","종각",53668,51552,"20160209"
"20160201","1호선","0153","종로3가",40580,38652,"20160209"
"20160201","1호선","0154","종로5가",30442,30356,"20160209"
"20160201","1호선","0155","동대문",14783,16485,"20160209"
"20160201","1호선","0156","신설동",18103,17682,"20160209"
"20160201","1호선","0157","제기동",23571,24515,"20160209"
"20160201","1호선","0158","청량리(지하)",31227,32267,"20160209"
"20160201","1호선","0159","동묘앞",8349,9113,"20160209"
"20160201","2호선","0201","시청",31448,30850,"20160209"
"20160201","2호선","0202","을지로입구",56811,58000,"20160209"
"20160201","2호선","0203","을지로3가",23226,23143,"20160209"
"20160201","2호선","0204","을지로4가",15647,15676,"20160209"
"20160201","2호선","0205","동대문역사문화공원",16798,19268,"20160209"
"20160201","2호선","0206","신당",16218,16862,"20160209"
"20160201","2호선","0207","상왕십리",12163,11665,"20160209"
"20160201","2호선","0208","왕십리(성동구청)",20991,17396,"20160209"
"20160201","2호선","0209","한양대",9116,10665,"20160209"
"20160201","2호선","0210","뚝섬",17649,18945,"20160209"
"20160201","2호선","0211","성수",31623,34203,"20160209"
"20160201","2호선","0212","건대입구",43451,46306,"20160209"
"20160201","2호선","0234","신도림",64799,62962,"20160209"
"20160201","2호선","0235","문래",22656,22951,"20160209"
"20160201","2호선","0236","영등포구청",25742,25922,"20160209"
"20160201","2호선","0237","당산",23621,26546,"20160209"
"20160201","2호선","0238","합정",34476,34576,"20160209"
"20160201","2호선","0239","홍대입구",70531,71809,"20160209"
"20160201","2호선","0240","신촌",51729,52805,"20160209"
"20160201","2호선","0241","이대",21018,21727,"20160209"
"20160201","2호선","0242","아현",10725,10177,"20160209"
"20160201","2호선","0243","충정로",13576,14815,"20160209"
"20160201","2호선","0244","용답",2648,2635,"20160209"
"20160201","2호선","0245","신답",1466,1728,"20160209"
"20160201","2호선","0246","신설동",4157,4031,"20160209"
"20160201","2호선","0247","도림천",1355,1574,"20160209"
"20160201","2호선","0248","양천구청",8009,8541,"20160209"
"20160201","2호선","0249","신정네거리",11610,11693,"20160209"
"20160201","2호선","0250","용두",2583,2711,"20160209"
"20160201","3호선","0309","지축",1213,1339,"20160209"
"20160201","3호선","0310","구파발",18609,14987,"20160209"
"20160201","3호선","0311","연신내",44152,41542,"20160209"
"20160201","3호선","0312","불광",20393,21424,"20160209"
"20160201","3호선","0313","녹번",16290,13980,"20160209"
"20160201","3호선","0314","홍제",21360,20177,"20160209"
"20160201","3호선","0315","무악재",4712,4703,"20160209"
"20160201","3호선","0316","독립문",7684,7815,"20160209"
"20160201","3호선","0317","경복궁",22796,23374,"20160209"
"20160201","3호선","0318","안국",26628,27969,"20160209"
"20160201","3호선","0319","종로3가",9614,12052,"20160209"
"20160201","3호선","0320","을지로3가",11227,12764,"20160209"
"20160201","3호선","0321","충무로",1,0,"20160209"
"20160201","3호선","0322","동대입구",9675,10531,"20160209"
"20160201","3호선","0323","약수",16260,15594,"20160209"
"20160201","3호선","0324","금호",8575,7856,"20160209"
"20160201","3호선","0325","옥수",10397,11013,"20160209"
"20160201","3호선","0326","압구정",40108,44435,"20160209"
"20160201","3호선","0327","신사",33555,36570,"20160209"
"20160201","3호선","0328","잠원",6135,5956,"20160209"
"20160201","3호선","0329","고속터미널",50378,50944,"20160209"
"20160201","3호선","0330","교대",16359,12320,"20160209"
"20160201","3호선","0331","남부터미널",37800,39705,"20160209"
"20160201","3호선","0332","양재",47661,51697,"20160209"
"20160201","3호선","0333","매봉",14517,14133,"20160209"
"20160201","3호선","0334","도곡",8130,7794,"20160209"
"20160201","3호선","0335","대치",13581,13058,"20160209"
"20160201","3호선","0336","학여울",2021,2146,"20160209"
"20160201","3호선","0337","대청",11609,10317,"20160209"
"20160201","3호선","0338","일원",11292,11796,"20160209"
"20160201","3호선","0339","수서",14105,14724,"20160209"
"20160201","3호선","0340","가락시장",10371,9643,"20160209"
"20160201","3호선","0341","경찰병원",8921,8948,"20160209"
"20160201","3호선","0342","오금",7473,6634,"20160209"
"20160201","4호선","0409","당고개",13956,13045,"20160209"
"20160201","4호선","0410","상계",24311,21903,"20160209"
"20160201","4호선","0411","노원",24360,26980,"20160209"
"20160201","4호선","0412","창동",32117,34759,"20160209"
"20160201","4호선","0413","쌍문",36098,31574,"20160209"
"20160201","4호선","0414","수유(강북구청)",47904,46532,"20160209"
"20160201","4호선","0415","미아",20702,18928,"20160209"
"20160201","2호선","0213","구의",27112,27000,"20160209"
"20160201","2호선","0214","강변",47867,47176,"20160209"
"20160201","2호선","0215","잠실나루",20387,19556,"20160209"
"20160201","2호선","0216","잠실",82788,76943,"20160209"
"20160201","2호선","0217","신천",28411,27549,"20160209"
"20160201","2호선","0218","종합운동장",11393,12948,"20160209"
"20160201","5호선","2560","거여",8051,7566,"20160209"
"20160201","5호선","2561","마천",6231,6154,"20160209"
"20160201","6호선","2611","응암",19264,18640,"20160209"
"20160201","6호선","2612","역촌",4161,4884,"20160209"
"20160201","6호선","2613","불광",5945,5651,"20160209"
"20160201","6호선","2614","독바위",3200,3242,"20160209"
"20160201","6호선","2616","구산",9157,6901,"20160209"
"20160201","6호선","2617","새절",14057,13382,"20160209"
"20160201","4호선","0416","미아사거리",35744,34909,"20160209"
"20160201","4호선","0417","길음",28435,27397,"20160209"
"20160201","4호선","0418","성신여대입구",27212,25530,"20160209"
"20160201","4호선","0419","한성대입구",16320,15692,"20160209"
"20160201","4호선","0420","혜화",39359,40554,"20160209"
"20160201","4호선","0421","동대문",27409,28190,"20160209"
"20160201","4호선","0422","동대문역사문화공원",21736,20302,"20160209"
"20160201","4호선","0423","충무로",36071,37983,"20160209"
"20160201","4호선","0424","명동",37394,40634,"20160209"
"20160201","4호선","0425","회현",31644,33430,"20160209"
"20160201","4호선","0426","서울역",12992,20731,"20160209"
"20160201","4호선","0427","숙대입구",18155,17876,"20160209"
"20160201","4호선","0428","삼각지",5389,6269,"20160209"
"20160201","4호선","0429","신용산",14669,16046,"20160209"
"20160201","4호선","0430","이촌",7542,8716,"20160209"
"20160201","4호선","0431","동작",2264,2303,"20160209"
"20160201","4호선","0432","총신대입구",24000,26659,"20160209"
"20160201","4호선","0433","사당",33428,24776,"20160209"
"20160201","4호선","0434","남태령",1003,951,"20160209"
"20160201","5호선","2511","방화",8229,7870,"20160209"
"20160201","5호선","2512","개화산",7026,6547,"20160209"
"20160201","5호선","2513","김포공항",7072,6446,"20160209"
"20160201","5호선","2514","송정",10678,10288,"20160209"
"20160201","5호선","2515","마곡",3785,2967,"20160209"
"20160201","5호선","2516","발산",11149,10781,"20160209"
"20160201","5호선","2517","우장산",18147,17774,"20160209"
"20160201","5호선","2518","화곡",31885,29406,"20160209"
"20160201","5호선","2519","까치산",32446,30857,"20160209"
"20160201","5호선","2520","신정",16459,12885,"20160209"
"20160201","5호선","2521","목동",20825,22360,"20160209"
"20160201","5호선","2522","오목교",27455,29050,"20160209"
"20160201","5호선","2523","양평",7552,7694,"20160209"
"20160201","5호선","2524","영등포구청",3741,3862,"20160209"
"20160201","5호선","2525","영등포시장",8896,9657,"20160209"
"20160201","5호선","2526","신길",3397,4074,"20160209"
"20160201","5호선","2527","여의도",28190,30864,"20160209"
"20160201","5호선","2528","여의나루",7036,7818,"20160209"
"20160201","5호선","2529","마포",17832,18761,"20160209"
"20160201","5호선","2530","공덕",15467,16264,"20160209"
"20160201","5호선","2531","애오개",7842,7796,"20160209"
"20160201","5호선","2532","충정로",5267,5464,"20160209"
"20160201","5호선","2533","서대문",20392,20968,"20160209"
"20160201","5호선","2534","광화문",39808,41149,"20160209"
"20160201","5호선","2535","종로3가",14712,14630,"20160209"
"20160201","5호선","2536","을지로4가",6345,6828,"20160209"
"20160201","5호선","2537","동대문역사문화공원",3882,4548,"20160209"
